# ZTF DR2 lightcurve of ZTF18abdmgab
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         250.90227, 33.53362
# year:           2018
# n_detect (sn):  115, 115
# mjd_max_init:   58308.22565  (phot: fclump)
# sn_range:       58208.22565 => 58689.89328
# baseline_range: 58158.46579 => 59898.09972
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    680    43   ztfg      435.30       30.00     1.00     471.52      583.28     601    562       1
#    680    43   ztfr      190.29       26.78     1.00     184.87      522.40     585    579       1
#    680    43   ztfi    -2901.75       97.60     1.00   -2894.38      726.37     144     50       1
#   1721    03   ztfr      354.49      168.86     1.00     306.44      570.54      12     36       1
#   1722    14   ztfg      342.99      162.22     1.00     303.42      806.19      12     11       1
#   1722    14   ztfr     -360.40      466.86     1.00     -83.94      811.35      13     42       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    680    43   ztfg      393.04      349.21     1.00     719.46      928.33      23    562       1
#    680    43   ztfr       -2.43      325.61     1.00    -180.57      435.35      10    579       1
#    680    43   ztfi        0.00        0.00     1.00       0.00        0.00       0     50       0
#   1721    03   ztfr        0.00        0.00     1.00       0.00        0.00       0     36       0
#   1722    14   ztfg        0.00        0.00     1.00       0.00        0.00       0     11       0
#   1722    14   ztfr     -360.40      463.96     1.15      81.35      732.50       5     42       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    680    43   ztfg      435.64       28.94     1.00     461.96      576.70     580    562       1
#    680    43   ztfr      197.78       32.02     1.00     192.44      526.68     577    579       1
#    680    43   ztfi    -2901.75       97.60     1.00   -2894.38      726.37     144     50       1
#   1721    03   ztfr      354.49      168.86     1.00     306.44      570.54      12     36       1
#   1722    14   ztfg      342.99      162.22     1.00     303.42      806.19      12     11       1
#   1722    14   ztfr      -62.56      533.63     1.10    -222.01      884.04       8     42       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58158.46579   ztfr   -2061.68284   758.70334     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   0      489.87061     2754.59056    26.27500  0.00001   0.02029   
58158.46627   ztfr   -150.25009    1004.05104    30.00000  32     99.00000  99.00000  1722   14     -360.39751    466.85749     1.00000   1      2494.26889    1692.91847    26.27500  0.00001   0.02430   
58158.48686   ztfr   60.46716  639.68770     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      492.51459     2764.56520    26.27500  0.00001   0.02007   
58158.48736   ztfr   787.16206     893.10807     30.00000  32     99.00000  99.00000  1722   14     -360.39751    466.85749     1.00000   1      2498.25779    1702.48504    26.27500  0.00001   0.02335   
58158.51226   ztfr   1737.40027    967.24542     30.00000  32     99.00000  99.00000  1722   14     -360.39751    466.85749     1.00000   1      2502.45791    1713.21020    26.27500  0.00001   0.02418   
58158.51274   ztfr   -651.21816    678.96510     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      495.16302     2775.46103    26.27500  0.00001   0.01963   
58158.52634   ztfr   -893.40064    602.71423     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      496.24897     2781.53900    26.27500  0.00001   0.02048   
58158.53179   ztfr   0.00000   911.01413     30.00000  32     99.00000  99.00000  1722   14     -360.39751    466.85749     1.00000   1      2504.85319    1720.29585    26.27500  0.00001   0.02523   
58158.54566   ztfr   386.41315     608.95999     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      498.47515     2787.54607    26.27500  0.00001   0.01964   
58158.54615   ztfr   -140.75484    960.18340     30.00000  32     99.00000  99.00000  1722   14     -360.39751    466.85749     1.00000   1      2508.92816    1725.13461    26.27500  0.00001   0.02585   
58198.39366   ztfr   -705.35043    630.39584     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      487.71910     2801.02935    26.27500  0.00001   0.01894   
58198.43461   ztfr   -1202.28010   543.87820     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      493.32611     2814.29962    26.27500  0.00001   0.01944   
58198.45416   ztfr   54.35287  548.74233     30.00000  0      99.00000  99.00000  680    43     190.29292     26.77691  1.00000   1      494.11712     2819.63379    26.27500  0.00001   0.02049   
