# ZTF DR2 lightcurve of ZTF18abnucig
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         293.41672, 39.38927
# year:           2018
# n_detect (sn):  37, 37
# mjd_max_init:   58358.27975  (phot: fclump)
# sn_range:       58258.27975 => 58751.74111
# baseline_range: 58204.51435 => 59829.17881
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    728    26   ztfg      464.33       33.82     1.00     440.47      452.54     202    197       1
#    728    26   ztfr      674.69       67.89     1.00     564.31      735.51     179    622       1
#   1727    63   ztfg     -689.34      196.41     1.01    -599.35      896.30      23     29       1
#   1727    63   ztfr    -1043.29       38.22     1.00   -1114.15      580.90       7     51       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    728    26   ztfg       67.45      123.43     1.00    -276.05      816.60       9    197       1
#    728    26   ztfr     -219.49      218.35     1.00    -292.13      648.73       8    622       1
#   1727    63   ztfg        0.00        0.00     1.00       0.00        0.00       0     29       0
#   1727    63   ztfr        0.00        0.00     1.00       0.00        0.00       0     51       0
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    728    26   ztfg      481.46       33.48     1.00     451.56      446.12     193    197       1
#    728    26   ztfr      677.99       71.70     1.00     612.70      719.99     171    622       1
#   1727    63   ztfg     -689.34      196.41     1.01    -599.35      896.30      23     29       1
#   1727    63   ztfr    -1043.29       38.22     1.00   -1114.15      580.90       7     51       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58204.51435   ztfg   -586.52902    710.30763     30.00000  256    99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2806.61790    686.66799     26.30953  0.00001   0.01572   
58207.50977   ztfg   835.91034     1185.61853    30.00000  256    99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2861.68415    679.44822     26.28936  0.00001   0.01717   
58207.52277   ztfg   -665.69096    1343.26474    30.00000  256    99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2864.65506    681.68455     26.28892  0.00001   0.01723   
58210.48350   ztfg   -4565.93220   1548.30512    30.00000  0      99.00000  99.00000  728    26     464.32618     33.81779  1.00000   0      2807.60976    646.63229     26.26147  0.00001   0.01689   
58216.50321   ztfr   -877.25722    1717.55683    30.00000  64     99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2803.98836    723.05352     26.28083  0.00001   0.01774   
58222.46466   ztfr   21.17724  615.58833     30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2808.59904    701.47418     26.25804  0.00001   0.01253   
58222.49692   ztfr   -2194.40372   806.67012     30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2812.22392    713.07799     26.27914  0.00001   0.01541   
58226.45446   ztfr   -183.80011    612.57132     30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2808.80937    704.88501     26.25927  0.00001   0.01333   
58226.48874   ztfr   1419.96218    826.05510     30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   0      2811.96696    717.72213     26.27572  0.00001   0.01486   
58229.45497   ztfr   -911.11597    670.77202     30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2805.92718    743.34651     26.30228  0.00001   0.01386   
58229.49486   ztfg   -396.87291    679.64539     30.00000  0      99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2814.36108    752.63458     26.30918  0.00001   0.01611   
58236.42694   ztfg   -2347.72166   2142.82494    30.00000  256    99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2806.71994    681.92281     26.21776  0.00001   0.02069   
58236.49670   ztfg   3193.71164    1756.52508    30.00000  256    99.00000  99.00000  728    26     464.32618     33.81779  1.00000   0      2819.14408    696.40898     26.24866  0.00001   0.01848   
58244.44674   ztfg   -543.24543    914.81378     30.00000  0      99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2816.62648    655.70028     26.24044  0.00001   0.01577   
58244.47303   ztfr   -4373.57599   1510.50233    30.00000  64     99.00000  99.00000  728    26     674.69212     67.88516  1.00000   0      2816.73242    662.64432     26.28361  0.00001   0.01795   
58247.39091   ztfg   67.39449  374.72255     30.00000  0      99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2809.57344    686.00427     26.27089  0.00001   0.01772   
58247.44943   ztfr   -691.55279    945.46343     30.00000  64     99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2818.60462    702.23717     26.31466  0.00001   0.01616   
58252.47179   ztfg   -296.38660    376.34277     30.00000  0      99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2818.24752    743.15904     26.31076  0.00001   0.01413   
58252.48927   ztfr   -1379.26645   1098.38115    30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2823.07102    747.78787     26.30112  0.00001   0.01606   
58255.42707   ztfg   172.83556     532.18506     30.00000  0      99.00000  99.00000  728    26     464.32618     33.81779  1.00000   1      2813.59549    786.43896     26.28286  0.00001   0.01593   
58255.44587   ztfr   -1143.22330   530.09022     30.00000  0      99.00000  99.00000  728    26     674.69212     67.88516  1.00000   1      2817.81587    792.75521     26.31408  0.00001   0.01097   
58266.35433   ztfr   797.46626     1073.76780    30.00000  256    99.00000  99.00000  728    26     674.69212     67.88516  1.00000   0      2812.96835    808.70199     26.25663  0.00001   0.01365   
58266.47323   ztfg   -3647.96685   2206.27018    30.00000  320    99.00000  99.00000  728    26     464.32618     33.81779  1.00000   0      2828.51837    829.99303     26.26849  0.00001   0.02156   
58267.37233   ztfr   -4578.50590   2784.57936    30.00000  256    99.00000  99.00000  728    26     674.69212     67.88516  1.00000   0      2813.73758    817.28009     26.11888  0.00001   0.02358   
58267.37278   ztfr   -3456.95506   1890.80338    30.00000  256    99.00000  99.00000  728    26     674.69212     67.88516  1.00000   0      2814.07844    817.39932     26.21155  0.00001   0.01773   
