# ZTF DR2 lightcurve of ZTF19abjpkdz
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         38.99696, 10.44198
# year:           2019
# n_detect (sn):  55, 55
# mjd_max_init:   58699.47359  (phot: fclump)
# sn_range:       58599.47359 => 59103.97380
# baseline_range: 58301.47708 => 59827.46354
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    504    18   ztfg     -113.47       53.61     1.00      18.88      688.68     134    105       1
#    504    18   ztfr      192.38       99.23     1.00     153.09      686.68     175    275       1
#    504    18   ztfi    -1423.38      487.32     1.06   -1345.19     1754.79      19      9       1
#   1498    50   ztfg    -1108.69      246.66     1.00    -855.58      450.06       8     40       1
#   1498    50   ztfr     -201.04      447.86     1.08    -657.48     1385.57      13     36       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    504    18   ztfg      -28.60      173.89     1.00     152.38      728.04      55    105       1
#    504    18   ztfr      262.28      176.60     1.00     121.76      641.89      68    275       1
#    504    18   ztfi    -1752.40     1236.89     1.27   -1990.51     2388.91       6      9       1
#   1498    50   ztfg    -1108.69      246.66     1.00    -855.58      450.06       8     40       1
#   1498    50   ztfr     -201.04      447.86     1.08    -657.48     1385.57      13     36       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    504    18   ztfg     -145.05      105.66     1.00     -46.10      680.61      81    105       1
#    504    18   ztfr      164.25      100.50     1.00     198.47      754.73     107    275       1
#    504    18   ztfi    -1092.50      551.17     1.03   -1012.45     1794.73      15      9       1
#   1498    50   ztfg        0.00        0.00     1.00       0.00        0.00       0     40       0
#   1498    50   ztfr        0.00        0.00     1.00       0.00        0.00       0     36       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58301.47708   ztfg   2717.28630    2461.42267    30.00000  8      99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   0      1795.59379    1151.41632    26.04582  0.00027   0.05572   
58304.46458   ztfg   2208.43498    1878.61336    30.00000  192    99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   0      1797.43444    1174.21548    26.05634  0.00013   0.04308   
58310.45514   ztfr   -216.54276    1282.78707    30.00000  0      99.00000  99.00000  504    18     192.38460     99.23098  1.00000   1      1797.16614    1353.94154    25.90110  0.00008   0.03855   
58314.44269   ztfr   -253.42632    1314.02878    30.00000  0      99.00000  99.00000  504    18     192.38460     99.23098  1.00000   1      1800.33674    1255.87288    25.88247  0.00007   0.03537   
58314.47747   ztfg   1433.36878    1172.95085    30.00000  0      99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   1      1803.38515    1271.04864    25.84025  0.00011   0.04339   
58320.46350   ztfg   302.75851     1724.37708    30.00000  264    99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   0      1794.75812    1197.60832    25.36097  0.00019   0.05331   
58320.48591   ztfr   -784.90107    1111.92279    30.00000  256    99.00000  99.00000  504    18     192.38460     99.23098  1.00000   1      1798.09120    1211.67591    25.88296  0.00006   0.03431   
58323.44251   ztfg   781.33651     1303.42697    30.00000  320    99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   1      1792.19957    1262.50483    26.04446  0.00011   0.04106   
58323.48604   ztfr   723.37853     813.78932     30.00000  256    99.00000  99.00000  504    18     192.38460     99.23098  1.00000   1      1801.19445    1287.64293    26.17271  0.00005   0.03120   
58326.40358   ztfr   1385.32246    5815.63695    30.00000  456    99.00000  99.00000  504    18     192.38460     99.23098  1.00000   0      1791.28366    1179.38239    24.99315  0.00049   0.07027   
58332.46721   ztfg   -15575.60307  9797.81207    30.00000  72     99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   0      1756.39443    1359.41981    25.39838  0.00147   0.02249   
58336.47310   ztfr   -851.53649    910.20645     30.00000  0      99.00000  99.00000  504    18     192.38460     99.23098  1.00000   1      1808.65449    1277.05528    26.24223  0.00004   0.02709   
58336.48551   ztfg   439.32884     1417.13756    30.00000  64     99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   1      1811.75469    1286.70664    26.19580  0.00012   0.04340   
58340.44093   ztfr   305.95955     2173.84072    30.00000  8      99.00000  99.00000  504    18     192.38460     99.23098  1.00000   0      1807.67584    1375.75678    25.03108  0.00068   0.11329   
58340.44184   ztfr   -1373.43939   1117.37625    30.00000  0      99.00000  99.00000  504    18     192.38460     99.23098  1.00000   1      1808.17036    1375.59512    25.80095  0.00005   0.02854   
58340.48140   ztfg   1317.44103    1104.33932    30.00000  0      99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   1      1808.43574    1377.24197    25.83272  0.00009   0.03891   
58340.48369   ztfg   -708.44981    901.45809     30.00000  0      99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   1      1807.65197    1379.13532    25.88033  0.00007   0.03470   
58342.45672   ztfg   84.86521  802.96961     30.00000  0      99.00000  99.00000  504    18     -113.46599    53.61101  1.00000   1      1806.02895    1287.58286    26.01026  0.00006   0.03347   
