# ZTF DR2 lightcurve of ZTF19accobqx
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         335.05096, 17.61121
# year:           2019
# n_detect (sn):  28, 28
# mjd_max_init:   58779.20115  (phot: fclump)
# sn_range:       58679.20115 => 59223.50825
# baseline_range: 58234.50184 => 59904.23336
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    596    18   ztfg       46.60       28.80     1.00      19.09      629.45     385    375       1
#    596    18   ztfr     -262.81       51.09     1.00    -321.53      784.66     464    391       1
#    596    18   ztfi     -404.36      191.86     1.01    -493.49     1235.85      99    106       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    596    18   ztfg     -218.12      119.16     1.06    -361.41      798.40      57    375       1
#    596    18   ztfr     -334.81      158.55     1.06    -262.20      887.07      76    391       1
#    596    18   ztfi     -732.10      417.23     1.12    -761.56     1422.41      31    106       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    596    18   ztfg       92.16       45.64     1.00      77.29      601.60     330    375       1
#    596    18   ztfr     -248.55       45.09     1.00    -339.56      773.73     390    391       1
#    596    18   ztfi     -273.51      175.72     1.05    -357.47     1205.50      70    106       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58234.50184   ztfg   2246.48708    1977.63946    30.00000  256    99.00000  99.00000  596    18     46.59519  28.79560  1.00000   0      781.51983     1319.38340    26.01267  0.00001   0.03865   
58244.48264   ztfr   1764.81033    1541.28734    30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      786.41525     1256.79715    26.18728  0.00001   0.03072   
58247.47262   ztfr   1702.42465    804.92407     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      783.89494     1295.65859    26.19933  0.00001   0.02241   
58247.48339   ztfg   115.72381     940.82679     30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      787.98947     1308.38748    26.18995  0.00001   0.03304   
58254.44495   ztfg   305.28446     712.77034     30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      781.91842     1313.28028    26.13878  0.00001   0.02837   
58254.48339   ztfr   1705.87038    811.25784     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      788.58327     1335.37623    26.21724  0.00001   0.02167   
58257.42182   ztfr   1047.17859    910.06872     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      779.69684     1385.02194    26.10874  0.00001   0.02570   
58257.46286   ztfr   -1169.26967   608.41643     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      783.36216     1406.69845    26.16401  0.00001   0.02176   
58262.46595   ztfg   570.86285     797.48875     30.00000  320    99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      785.85309     1411.41455    26.17022  0.00001   0.03101   
58266.38083   ztfr   700.60856     2259.77288    30.00000  384    99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      781.28686     1393.91958    26.10930  0.00001   0.03373   
58269.43488   ztfr   -3082.13304   2098.22536    30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   0      788.08556     1438.54654    26.11877  0.00001   0.03047   
58269.45127   ztfg   2272.71251    2281.18570    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   0      789.45322     1446.19806    26.19731  0.00002   0.03812   
58272.42284   ztfg   -738.85748    1348.05561    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      789.86110     1476.28053    26.17714  0.00001   0.03465   
58272.45966   ztfr   -812.19485    1136.08357    30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      790.65650     1487.69599    26.20763  0.00001   0.02507   
58273.43605   ztfr   -1213.73191   1089.68151    30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      788.83956     1466.21888    26.22524  0.00001   0.02666   
58273.47747   ztfg   -1433.25852   1463.08301    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      792.96788     1479.36451    26.22617  0.00001   0.03535   
58274.35818   ztfi   -2300.57784   2606.99910    30.00000  192    99.00000  99.00000  596    18     -404.35934    191.86463     1.01173   1      786.27717     1443.87224    25.65314  0.00001   0.03528   
58274.44169   ztfg   -1176.90701   1890.43582    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      795.30111     1480.25526    25.94298  0.00001   0.03535   
58274.46446   ztfr   -1639.18138   903.50666     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      797.53835     1536.23008    26.23940  0.00001   0.02210   
58275.42149   ztfr   -132.05120    1098.72714    30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      789.62003     1507.21890    26.24098  0.00001   0.02183   
58275.43558   ztfr   223.63955     864.37731     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      790.23092     1510.18539    26.23151  0.00001   0.02117   
58275.46558   ztfg   1663.52840    1121.88079    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   0      792.37248     1522.39135    26.24278  0.00001   0.03267   
58275.46741   ztfg   188.88654     1027.39759    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      792.81260     1522.29608    26.24539  0.00001   0.03225   
58276.41285   ztfg   211.14559     884.26120     30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      788.19155     1332.41337    26.16837  0.00001   0.03143   
58276.46101   ztfr   -549.83597    1029.14675    30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      793.91303     1266.03064    26.23629  0.00001   0.02256   
58277.42144   ztfr   92.04902  898.75708     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      791.27605     1295.86573    26.16355  0.00001   0.02139   
58277.47181   ztfg   -913.61340    1005.50184    30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      790.45882     1308.61379    26.15637  0.00001   0.03379   
58278.42375   ztfg   1347.95665    603.64488     30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   1      792.32561     1307.54559    26.19537  0.00001   0.02666   
58278.42466   ztfg   -1866.08709   895.08454     30.00000  0      99.00000  99.00000  596    18     46.59519  28.79560  1.00000   0      792.89560     1307.92638    26.19574  0.00001   0.03124   
58278.46297   ztfr   -468.40149    670.07064     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      793.72044     1321.05951    26.21934  0.00001   0.02063   
58278.47745   ztfr   625.70335     932.80587     30.00000  0      99.00000  99.00000  596    18     -262.80641    51.09311  1.00000   1      793.91043     1320.92521    26.22096  0.00001   0.02363   
