# ZTF DR2 lightcurve of ZTF19acnwelq
# --------------- #
# phot_source:    FPbot (2023jan01)
# year:           2019
# n_detect (sn):  16, 16
# mjd_max_init:   58798.13843  (phot: fclump)
# baseline_range: 58698.13843 => 59248.43476
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    596    18   ztfg      829.38       30.13     1.00     760.10      519.57    432       1
#    596    18   ztfr      -22.41       22.19     1.00    -107.18      624.08    502       1
#    596    18   ztfi      431.36      149.08     1.00     461.37     1004.37    104       1
#   1592    55   ztfr      564.49        0.00     1.00     564.49        0.00      1       0
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    596    18   ztfg      553.83      118.51     1.00     484.87      570.60     60       1
#    596    18   ztfr      171.26       99.87     1.00     265.74      752.00     81       1
#    596    18   ztfi      643.78      423.21     1.00     416.85     1128.35     33       1
#   1592    55   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    596    18   ztfg      864.72       37.39     1.00     811.27      504.66    374       1
#    596    18   ztfr      -38.40       36.53     1.00    -149.73      608.92    421       1
#    596    18   ztfi      412.22      140.90     1.00     484.95      947.16     71       1
#   1592    55   ztfr      564.49        0.00     1.00     564.49        0.00      1       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58234.50184   ztfg   -945.53530    2031.81255    30.00000  256    99.00000  99.00000  596    18     829.38491     30.13070  1.00000   1      775.74272     1325.49387    26.01267  0.00001   0.03865   
58244.48264   ztfr   2742.21288    1543.25226    30.00000  0      99.00000  99.00000  596    18     -22.41365     22.18826  1.00000   0      780.62303     1262.95229    26.18728  0.00001   0.03072   
58247.47262   ztfr   274.57648     790.07590     30.00000  0      99.00000  99.00000  596    18     -22.41365     22.18826  1.00000   1      778.10209     1301.81373    26.19933  0.00001   0.02241   
58247.48339   ztfg   81.82186  996.66013     30.00000  0      99.00000  99.00000  596    18     829.38491     30.13070  1.00000   1      782.21268     1314.49873    26.18995  0.00001   0.03304   
58254.44495   ztfg   -747.45587    738.14754     30.00000  0      99.00000  99.00000  596    18     829.38491     30.13070  1.00000   1      776.14221     1319.38939    26.13878  0.00001   0.02837   
58254.48339   ztfr   2510.98591    755.13875     30.00000  0      99.00000  99.00000  596    18     -22.41365     22.18826  1.00000   0      782.79040     1341.53263    26.21724  0.00001   0.02167   
58257.42182   ztfr   578.55149     854.96791     30.00000  0      99.00000  99.00000  596    18     -22.41365     22.18826  1.00000   1      773.90505     1391.17536    26.10874  0.00001   0.02570   
58257.46286   ztfr   -133.69252    609.54682     30.00000  0      99.00000  99.00000  596    18     -22.41365     22.18826  1.00000   1      777.56844     1412.85396    26.16401  0.00001   0.02176   
58262.46595   ztfg   -1020.66718   807.36731     30.00000  320    99.00000  99.00000  596    18     829.38491     30.13070  1.00000   1      780.07490     1417.52597    26.17022  0.00001   0.03101   
58266.38083   ztfr   1136.29475    2266.00100    30.00000  384    99.00000  99.00000  596    18     -22.41365     22.18826  1.00000   1      775.49708     1400.07137    26.10930  0.00001   0.03373   
