# ZTF DR2 lightcurve of ZTF19aculypc
# --------------- #
# phot_source:    FPbot (2022dec19)
# ra,dec:         39.00562, 10.45132
# year:           2019
# n_detect (sn):  46, 45
# mjd_max_init:   58833.27961  (phot: fclump)
# sn_range:       58733.27961 => 59328.65761
# baseline_range: 58301.47708 => 59923.26181
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    504    18   ztfg     -212.68       66.59     1.00    -120.33      622.67     119    132       1
#    504    18   ztfr      -61.20       90.49     1.00    -100.89      664.96     142    326       1
#    504    18   ztfi      180.98      170.94     1.00     195.97     1014.84      45     31       1
#   1498    50   ztfg      243.56       80.69     1.00     200.20      450.64      20     34       1
#   1498    50   ztfr      426.30      154.08     1.07     632.67     1178.79      19     35       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    504    18   ztfg     -230.24       71.70     1.00    -200.90      598.92      81    132       1
#    504    18   ztfr      -74.75      119.87     1.00    -165.90      698.67      96    326       1
#    504    18   ztfi     1223.62      784.99     1.00     683.24     1519.34       6     31       1
#   1498    50   ztfg      137.01      154.91     1.00     153.02      475.76      14     34       1
#   1498    50   ztfr      145.02      423.49     1.00     291.33     1238.65      13     35       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    504    18   ztfg     -134.93      159.33     1.00      28.58      665.05      38    132       1
#    504    18   ztfr      -20.37      134.69     1.00     -16.32      649.19      48    326       1
#    504    18   ztfi      174.78      195.52     1.00     140.25      994.73      41     31       1
#   1498    50   ztfg      336.34      127.14     1.00       2.08      810.33       8     34       1
#   1498    50   ztfr      676.81      583.04     1.37    1082.96     1564.11       8     35       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58301.47708   ztfg   -311.16043    2448.02265    30.00000  8      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1765.55945    1118.07031    26.04582  0.00027   0.05572   
58304.46458   ztfg   1780.76143    1989.49917    30.00000  192    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1767.39552    1140.87254    26.05634  0.00013   0.04308   
58310.45514   ztfr   670.19538     1162.20687    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1767.12544    1320.49000    25.90110  0.00008   0.03855   
58314.44269   ztfr   1210.52866    1010.68320    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1770.29918    1222.42707    25.88247  0.00007   0.03537   
58314.47747   ztfg   -606.89309    1172.94304    30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1773.33413    1237.70226    25.84025  0.00011   0.04339   
58320.46350   ztfg   -887.40651    1764.41744    30.00000  264    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1764.70670    1164.26625    25.36097  0.00019   0.05331   
58320.48591   ztfr   1433.41749    996.52449     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1768.04289    1178.23695    25.88296  0.00006   0.03431   
58323.44251   ztfg   -2811.42156   1236.10900    30.00000  320    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1762.14749    1229.15681    26.04446  0.00011   0.04106   
58323.48604   ztfr   43.60730  684.82741     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1771.14608    1254.20336    26.17271  0.00005   0.03120   
58326.40358   ztfr   1157.53756    5444.99129    30.00000  456    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1761.24844    1145.93744    24.99315  0.00049   0.07027   
58332.46721   ztfg   -20593.10310  10272.65650   30.00000  72     99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1726.34125    1326.07645    25.39838  0.00147   0.02249   
58336.47310   ztfr   113.91731     777.83780     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1778.60905    1243.61416    26.24223  0.00004   0.02709   
58336.48551   ztfg   573.23261     1375.41590    30.00000  64     99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1781.69451    1253.36804    26.19580  0.00012   0.04340   
58340.44093   ztfr   765.21777     1959.39375    30.00000  8      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1777.62643    1342.31900    25.03108  0.00068   0.11329   
58340.44184   ztfr   -1015.72625   943.67688     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1778.11424    1342.15429    25.80095  0.00005   0.02854   
58340.48140   ztfg   -469.02947    1006.14012    30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1778.37565    1343.90038    25.83272  0.00009   0.03891   
58340.48369   ztfg   1105.56481    827.85892     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1777.59124    1345.79508    25.88033  0.00007   0.03470   
58342.45672   ztfg   471.09120     724.52336     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1775.97362    1254.24389    26.01026  0.00006   0.03347   
58342.48135   ztfr   539.35426     809.05238     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1776.84242    1261.67218    26.14115  0.00003   0.02550   
58343.45650   ztfg   281.63985     593.64021     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1777.08787    1289.44927    26.14724  0.00005   0.02945   
58343.45743   ztfg   600.41846     548.52251     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1777.65765    1289.60908    26.13075  0.00006   0.03505   
58343.48104   ztfr   431.86959     641.86197     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1778.34468    1297.83579    26.18446  0.00004   0.02793   
58343.48197   ztfr   76.40603  584.41906     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1778.04013    1298.06411    26.16699  0.00004   0.02572   
58344.45997   ztfr   -191.42627    560.65335     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1780.82087    1434.34257    26.19125  0.00003   0.02348   
58345.44187   ztfg   -17.56155     775.41176     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1779.70642    1171.20836    26.07473  0.00006   0.03470   
58345.48242   ztfr   957.98496     607.47928     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1782.14714    1180.00846    26.16501  0.00004   0.02758   
58346.45545   ztfr   -565.03318    641.83075     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1780.18672    1289.05591    26.11821  0.00004   0.02769   
58346.45637   ztfr   -854.60765    635.64138     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1780.24174    1290.21584    26.12214  0.00004   0.02879   
58346.48091   ztfg   709.81392     596.33682     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1783.40666    1298.26882    26.08314  0.00005   0.02974   
58346.50023   ztfg   789.96300     872.09315     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1785.04478    1297.70232    26.04285  0.00008   0.03812   
58347.42088   ztfr   -1395.40495   608.31377     30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1781.69456    1361.72950    26.10692  0.00004   0.02648   
58347.50218   ztfg   -398.18814    994.20340     30.00000  0      99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1786.55353    1374.43975    26.14444  0.00007   0.03529   
58348.43499   ztfr   233.53187     628.59106     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1775.90017    1122.90091    26.15832  0.00004   0.02918   
58348.46494   ztfg   666.12793     747.66018     30.00000  320    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1780.36852    1138.28804    26.14296  0.00011   0.04592   
58349.42406   ztfg   -326.47963    687.44366     30.00000  256    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1777.74472    1118.23897    26.14514  0.00005   0.02979   
58349.42498   ztfg   874.20875     608.56562     30.00000  256    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1777.04296    1118.53757    26.13071  0.00005   0.02987   
58349.47823   ztfr   230.34896     522.68645     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1783.90965    1132.37113    26.21183  0.00004   0.02913   
58349.49690   ztfr   -228.58343    563.88469     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1784.82149    1135.53548    26.21726  0.00003   0.02542   
58350.46079   ztfg   -858.86815    496.82502     30.00000  256    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   1      1781.62770    1133.46988    26.15435  0.00005   0.03121   
58350.49988   ztfr   -427.27653    573.58190     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1787.67103    1137.34960    26.17180  0.00005   0.03128   
58351.46094   ztfg   1450.54318    669.49258     30.00000  256    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1779.70836    1331.12071    26.16264  0.00007   0.03636   
58351.49306   ztfr   -44.66465     494.22421     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1784.70252    1335.29642    26.19894  0.00005   0.02910   
58352.43192   ztfg   1535.35064    754.44227     30.00000  256    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1777.19976    1068.39189    26.14482  0.00007   0.03753   
58352.43284   ztfg   -1434.17077   638.81490     30.00000  256    99.00000  99.00000  504    18     -212.67866    66.58551  1.00000   0      1778.01347    1068.28664    26.14749  0.00006   0.03488   
58352.49612   ztfr   1127.46444    112.31247     30.00000  1281   22.36974  0.10816   504    18     -61.20382     90.49173  1.00000   0      1785.05740    1080.66317    26.19514  0.00004   0.02561   
58352.49704   ztfr   1015.90507    503.13307     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1786.08064    1081.04123    26.20143  0.00004   0.02794   
58353.38802   ztfr   -281.28008    1012.51204    30.00000  288    99.00000  99.00000  1498   50     426.29771     154.07960     1.06828   1      232.62158     1875.60915    26.18361  0.00003   0.02631   
58353.42221   ztfr   1982.56388    783.02855     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1783.17620    1079.60055    26.22184  0.00004   0.02653   
58353.48480   ztfr   -389.81038    512.84101     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1791.93241    1091.96284    26.24481  0.00004   0.02677   
58354.46249   ztfr   511.71714     775.38349     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1783.77353    1165.18637    26.22606  0.00003   0.02525   
58354.49992   ztfr   -650.24466    511.10253     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1792.17407    1170.44284    26.24226  0.00004   0.02782   
58355.41331   ztfr   1463.01280    1120.56303    30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1777.75939    1129.64963    26.21488  0.00005   0.03265   
58355.41469   ztfr   -1461.40080   1066.41603    30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1777.69514    1130.14373    26.21805  0.00005   0.03048   
58355.49955   ztfr   -410.66037    839.56959     30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1792.86095    1143.18717    26.24314  0.00004   0.02649   
58356.36765   ztfr   4949.52591    1801.62153    30.00000  288    99.00000  99.00000  1498   50     426.29771     154.07960     1.06828   0      229.16875     1905.07821    26.21435  0.00003   0.02580   
58356.43956   ztfr   -573.11052    1364.08748    30.00000  256    99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1783.23375    1190.98904    26.24580  0.00005   0.03161   
58356.49829   ztfr   -1450.32674   1166.59676    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1798.94439    1198.02659    26.26656  0.00005   0.02983   
58357.38405   ztfr   -1307.52643   1770.87552    30.00000  32     99.00000  99.00000  1498   50     426.29771     154.07960     1.06828   1      233.60244     1941.08942    26.21331  0.00004   0.03040   
58357.45824   ztfr   2537.94295    1278.08034    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1783.78649    1148.35227    26.25365  0.00005   0.03063   
58357.48438   ztfr   634.77528     1287.00361    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1792.41659    1156.32712    26.25835  0.00004   0.02719   
58358.44405   ztfr   -1364.05885   1556.62372    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   1      1788.67861    1134.74853    26.23524  0.00004   0.02798   
58358.44497   ztfr   1436.44526    1307.97580    30.00000  0      99.00000  99.00000  504    18     -61.20382     90.49173  1.00000   0      1788.07258    1135.55944    26.24332  0.00005   0.02930   
58359.43330   ztfr   2258.74865    4480.86287    30.00000  32     99.00000  99.00000  1498   50     426.29771     154.07960     1.06828   1      236.07172     2005.88997    25.85381  0.00010   0.04081   
