# ZTF DR2 lightcurve of ZTF20aaeszsm
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         59.92300, 26.58887
# year:           2020
# n_detect (sn):  31, 31
# mjd_max_init:   58873.18049  (phot: fclump)
# sn_range:       58773.18049 => 59352.74065
# baseline_range: 58131.10812 => 59829.49131
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    608    42   ztfg      -30.27       65.20     1.00     -84.01      766.64     109    161       1
#    608    42   ztfr      333.11       74.29     1.00     346.50      989.88     180    553       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    608    42   ztfg      -30.27       65.20     1.00     -56.02      761.51      67    161       1
#    608    42   ztfr      371.28      119.55     1.00     293.67      796.70      74    553       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    608    42   ztfg      -45.49      153.70     1.00    -298.84      846.85      42    161       1
#    608    42   ztfr      331.44      121.58     1.00     417.25     1171.16     106    553       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58131.10812   ztfg   -1667.33406   1066.24147    30.00000  64     99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   0      624.43581     1845.78293    26.00000  0.00001   0.03172   
58131.13823   ztfg   -1400.91212   1213.51930    30.00000  64     99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      626.97887     1845.84509    26.00000  0.00001   0.03510   
58131.14733   ztfg   -563.43897    921.74766     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      628.00080     1847.42236    26.00000  0.00001   0.02845   
58131.16880   ztfg   -362.29259    941.07262     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      632.14113     1847.13010    26.00000  0.00001   0.02808   
58131.20523   ztfg   -1041.98767   1029.51048    30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      638.77065     1844.16430    26.00000  0.00001   0.03011   
58131.23204   ztfg   232.43536     1030.93232    30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      642.47028     1843.25842    26.00000  0.00001   0.03057   
58204.13911   ztfg   -2884.96313   2871.53257    30.00000  324    99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   0      651.51893     1839.86729    26.29373  0.00008   0.04276   
58204.16023   ztfg   222.08087     3816.20389    30.00000  332    99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   0      651.28752     1827.87372    26.23334  0.00164   0.05877   
58319.47373   ztfr   -1974.75822   1031.34823    30.00000  256    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      597.99878     1777.89616    26.25168  0.00001   0.01976   
58322.46609   ztfg   725.13950     936.23711     30.00000  256    99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      599.53024     1795.48291    26.16187  0.00001   0.02986   
58325.44591   ztfg   2379.24561    3028.59460    30.00000  384    99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   0      598.66980     1746.71519    25.98198  0.00002   0.03762   
58328.41954   ztfr   -12567.38451  9978.53489    30.00000  204    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   0      551.81691     1782.89101    25.29055  0.00005   0.05035   
58334.44507   ztfr   -372.05165    1454.46525    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      564.84151     1872.76216    26.27247  0.00001   0.02594   
58334.49127   ztfg   1730.22455    1557.68728    30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      571.11561     1894.09913    26.22421  0.00001   0.03479   
58338.44302   ztfg   1138.03886    1077.67508    30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      614.17241     1935.77549    26.13216  0.00001   0.03500   
58338.49360   ztfr   186.37176     929.14580     30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      619.43193     1959.13934    26.31410  0.00001   0.01958   
58340.45302   ztfr   -846.32139    1095.32902    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      611.53140     1940.10614    26.02563  0.00001   0.02460   
58340.48966   ztfg   -495.42053    768.44724     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      616.92265     1952.97158    25.95781  0.00001   0.02936   
58342.44262   ztfg   -433.96822    1029.79041    30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      615.30687     1853.13180    25.98837  0.00001   0.03193   
58342.44353   ztfg   -1202.60000   925.20394     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      614.81037     1853.40747    25.99042  0.00001   0.03106   
58342.49588   ztfr   629.37112     998.79688     30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      619.11832     1871.33316    26.26546  0.00001   0.01943   
58342.49726   ztfr   -14.33434     1152.12489    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      618.60443     1873.14408    26.26603  0.00001   0.02114   
58343.44524   ztfg   -268.90427    700.20258     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      615.30774     1888.79211    26.14877  0.00001   0.02606   
58343.48519   ztfr   259.65242     827.85243     30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      617.94643     1906.69910    26.30734  0.00001   0.01705   
58344.46231   ztfr   -2276.29012   841.99574     30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   0      618.94775     2038.96534    26.28310  0.00001   0.01803   
58345.45318   ztfg   738.62974     926.78509     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      618.67639     1773.97294    26.11966  0.00001   0.03180   
58345.48627   ztfr   -551.67401    862.23501     30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      621.98972     1790.57239    26.27494  0.00001   0.01840   
58348.45351   ztfr   319.00527     882.63117     30.00000  256    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      617.52250     1732.76812    26.27551  0.00001   0.02006   
58348.49428   ztfg   -889.48260    774.69664     30.00000  256    99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      622.49246     1749.33101    26.24312  0.00001   0.02468   
58351.46510   ztfg   264.62838     680.78651     30.00000  256    99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      619.26385     1939.95434    26.23477  0.00001   0.02252   
58351.48976   ztfr   79.87735  768.81087     30.00000  256    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      621.90782     1948.15930    26.32999  0.00001   0.01830   
58354.47698   ztfr   -804.34931    956.35070     30.00000  256    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      623.90938     1779.82506    26.34910  0.00001   0.01716   
58354.48110   ztfr   -1240.29508   1103.03493    30.00000  256    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      623.18475     1779.91052    26.32979  0.00001   0.01862   
58356.38652   ztfr   -413.80829    1858.51765    30.00000  256    99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      615.64426     1779.95017    26.31020  0.00001   0.02368   
58357.39199   ztfr   -2739.68016   1648.36611    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   0      613.63024     1730.29569    26.32332  0.00001   0.02465   
58357.45542   ztfr   -802.19448    1369.22927    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      623.17608     1757.64135    26.34936  0.00001   0.02003   
58359.41615   ztfr   1813.94803    3670.00088    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      618.38620     1737.54374    25.80904  0.00001   0.04382   
58360.45559   ztfg   -570.06730    1618.46829    30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      623.67401     1787.71988    26.30575  0.00001   0.03540   
58360.49973   ztfr   -1209.07242   1419.33577    30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      628.96763     1798.82494    26.35714  0.00001   0.02380   
58365.47653   ztfg   -509.61014    810.05313     30.00000  0      99.00000  99.00000  608    42     -30.27259     65.20457  1.00000   1      625.44241     1744.48733    26.30912  0.00001   0.02749   
58365.48964   ztfr   -1615.53597   981.66731     30.00000  0      99.00000  99.00000  608    42     333.11182     74.28700  1.00000   1      626.66386     1746.10488    26.35412  0.00001   0.01698   
