# ZTF DR2 lightcurve of ZTF20aaxicpu
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         209.67670, 43.12643
# year:           2020
# n_detect (sn):  97, 95
# mjd_max_init:   58985.20314  (phot: fclump)
# sn_range:       58885.20314 => 59447.98076
# baseline_range: 58156.46591 => 59903.53257
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    718    54   ztfg      -56.29       22.61     1.00     -25.97      590.65     409    289       1
#    718    54   ztfr      144.89       46.21     1.00     103.47      712.91     484    329       1
#    718    54   ztfi      460.81      190.75     1.00     783.55     1050.42      98    133       1
#   1757    27   ztfg     -428.03      341.50     1.12    -639.28      902.59      10      8       1
#   1757    27   ztfr      -46.13      100.26     1.00    -191.32      593.92      38      9       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    718    54   ztfg      -30.19       34.06     1.00      47.29      616.40     332    289       1
#    718    54   ztfr      151.21       52.53     1.00     136.19      673.65     344    329       1
#    718    54   ztfi      709.84      302.23     1.00    1019.93     1051.80      69    133       1
#   1757    27   ztfg     -428.03      341.50     1.12    -639.28      902.59      10      8       1
#   1757    27   ztfr      -46.13      100.80     1.00    -209.86      601.30      36      9       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    718    54   ztfg     -196.96       60.73     1.00    -222.64      551.31      79    289       1
#    718    54   ztfr      110.25      108.11     1.00       7.66      844.45     142    329       1
#    718    54   ztfi      149.94      176.39     1.00     209.10     1204.59      31    133       1
#   1757    27   ztfg        0.00        0.00     1.00       0.00        0.00       0      8       0
#   1757    27   ztfr      157.35      318.71     1.00     117.18      318.71       2      9       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58156.46591   ztfr   -1888.41991   953.52595     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2793.20266    1084.96035    26.27500  0.00002   0.02588   
58156.46641   ztfr   -586.86075    1009.68469    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2537.62871    260.31834     26.27500  0.00002   0.02673   
58156.48559   ztfr   -175.90963    1559.06595    30.00000  96     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2539.36452    264.88595     26.27500  0.00002   0.03386   
58156.48609   ztfr   -436.67256    1323.06109    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2794.27300    1089.40636    26.27500  0.00002   0.02877   
58156.51505   ztfr   448.78591     1323.13795    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2796.72434    1093.81592    26.27500  0.00002   0.03155   
58156.51554   ztfr   2087.32583    1348.33375    30.00000  96     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2541.73002    268.17836     26.27500  0.00002   0.03041   
58156.52650   ztfr   298.08360     1103.25734    30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2797.78192    1093.35170    26.27500  0.00002   0.02733   
58156.52700   ztfr   290.73801     1236.23497    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2544.29404    268.18214     26.27500  0.00002   0.02630   
58156.54273   ztfr   -103.54573    1074.68471    30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2801.62180    1092.52731    26.27500  0.00002   0.02659   
58156.54372   ztfr   261.40214     1075.30281    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2547.66524    268.59920     26.27500  0.00002   0.02709   
58158.42354   ztfr   142.37667     593.11958     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2789.81383    1074.53146    26.27500  0.00001   0.02372   
58158.45274   ztfr   918.01068     602.92566     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2791.63806    1082.72914    26.27500  0.00002   0.02847   
58158.46421   ztfr   204.39545     739.03788     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2536.20294    259.30029     26.27500  0.00002   0.02588   
58158.48432   ztfr   -82.82228     778.54483     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2538.26358    263.26930     26.27500  0.00002   0.02732   
58158.48480   ztfr   695.67649     679.04463     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2795.68576    1087.54954    26.27500  0.00002   0.02585   
58158.51479   ztfr   -388.38561    680.40530     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2797.93092    1091.35023    26.27500  0.00002   0.02921   
58158.51529   ztfr   -117.38251    767.33791     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2541.74847    266.50369     26.27500  0.00002   0.03192   
58158.53340   ztfr   299.62898     842.94625     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2545.51185    265.73191     26.27500  0.00002   0.02921   
58158.53389   ztfr   1163.84241    655.34587     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2802.05275    1089.90462    26.27500  0.00002   0.02593   
58158.55134   ztfr   -1721.96335   981.46457     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2546.00745    263.72709     26.27500  0.00002   0.02974   
58160.45225   ztfr   402.36345     718.80065     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2791.75779    1079.97901    26.27500  0.00002   0.02494   
58160.45274   ztfr   -207.19867    968.72758     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2534.39065    255.78062     26.27500  0.00002   0.03100   
58160.47519   ztfr   356.91260     1250.95669    30.00000  96     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2535.24276    260.86772     26.27500  0.00002   0.02975   
58160.48321   ztfr   381.19956     1083.50326    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2536.94960    260.81242     26.27500  0.00002   0.02817   
58160.48419   ztfr   -742.53018    840.76122     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2795.23028    1083.94496    26.27500  0.00002   0.02938   
58160.51728   ztfr   -12.78035     1100.78352    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2542.64036    263.11269     26.27500  0.00002   0.02928   
58160.51778   ztfr   -491.83020    792.52741     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2798.57991    1087.19386    26.27500  0.00002   0.02577   
58160.52274   ztfr   2843.96462    814.33285     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2799.45183    1086.32391    26.27500  0.00002   0.02621   
58165.47049   ztfr   -1497.37229   2036.06956    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2540.43627    272.66550     26.27500  0.00003   0.03620   
58165.48399   ztfr   -1292.82835   4284.10439    30.00000  8      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2797.26997    1098.72356    26.27500  0.00007   0.05337   
58165.50479   ztfr   -10362.36238  20762.42189   30.00000  12     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2798.20319    1097.79872    26.27500  0.00066   0.06050   
58165.50529   ztfr   -41961.15074  23755.88548   30.00000  44     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2543.81699    273.74271     26.27500  0.00065   0.04568   
58165.52801   ztfr   -606.24642    14121.54228   30.00000  8      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2800.37512    1097.23811    26.27500  0.00017   0.04466   
58165.52899   ztfr   -6148.95063   26748.81355   30.00000  108    99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2546.05692    274.02493     26.27500  0.00122   0.05297   
58165.55323   ztfr   10528.19205   5665.52487    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2550.21539    270.88934     26.27500  0.00006   0.04666   
58165.55471   ztfr   -7005.63228   5012.58074    30.00000  8      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2803.72219    1093.22762    26.27500  0.00008   0.05133   
58173.44975   ztfi   2117.97801    1232.60888    30.00000  256    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2795.06397    1075.50844    25.56291  0.00001   0.01987   
58173.46764   ztfi   787.61423     1259.90001    30.00000  256    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2797.21406    1077.18802    25.57467  0.00001   0.02015   
58173.53425   ztfi   2640.76711    1291.41543    30.00000  256    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   0      2804.39756    1073.11339    25.57323  0.00001   0.02089   
58173.55465   ztfi   1165.47723    1520.58098    30.00000  256    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2806.31065    1069.01046    25.59731  0.00001   0.02675   
58174.45032   ztfi   -1736.13076   1092.13304    30.00000  256    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   0      2795.36328    1100.89925    25.55960  0.00001   0.02124   
58174.46787   ztfi   1955.56313    1113.50733    30.00000  256    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2797.84672    1101.96937    25.56189  0.00001   0.01868   
58174.53439   ztfi   1179.57775    2138.56227    30.00000  320    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2805.06988    1097.39176    25.55001  0.00001   0.02759   
58174.54729   ztfi   -1213.47596   2014.97379    30.00000  320    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2806.26642    1095.33512    25.55187  0.00001   0.02927   
58175.39194   ztfi   -1481.25469   2295.34850    30.00000  320    99.00000  99.00000  718    54     460.81296     190.75196     1.00000   1      2785.66346    1085.54655    25.57219  0.00001   0.03500   
58182.44236   ztfr   1115.05299    2122.38323    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2794.03828    1143.25372    26.27500  0.00004   0.04212   
58182.44286   ztfr   973.19983     2245.23559    30.00000  96     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2537.32517    317.88961     26.27500  0.00004   0.04163   
58182.48307   ztfr   52.20257  1601.16065    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2798.77042    1139.71521    26.27500  0.00002   0.03356   
58182.48356   ztfr   243.79436     1753.25493    30.00000  96     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2544.31554    315.22656     26.27500  0.00002   0.03239   
58182.50350   ztfr   3056.06009    1910.51099    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2802.77663    1138.17968    26.27500  0.00003   0.04045   
58182.50498   ztfr   -3064.04367   2304.29325    30.00000  96     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2547.42134    313.28530     26.27500  0.00003   0.03915   
58182.52675   ztfr   -776.45129    2559.06208    30.00000  100    99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2549.96696    310.46254     26.27500  0.00006   0.04977   
58182.52725   ztfr   -272.46006    2421.68623    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2805.73292    1135.36884    26.27500  0.00004   0.04592   
58183.44918   ztfr   50993.47401   20279.18689   30.00000  44     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2540.54547    303.72288     26.27500  0.00050   0.05215   
58183.44968   ztfr   -33807.55499  23275.52876   30.00000  12     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2796.72748    1128.71870    26.27500  0.00037   0.04005   
58183.47101   ztfr   27910.96459   24385.47834   30.00000  44     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2548.39516    304.42841     26.27500  0.00049   0.04133   
58183.47199   ztfr   18404.52425   25641.01337   30.00000  12     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2800.46183    1129.57231    26.27500  0.00066   0.05367   
58183.50656   ztfr   -78964.09256  39466.47441   30.00000  12     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2802.83135    1123.46570    26.27500  0.00280   0.04853   
58183.50706   ztfr   -10791.33211  24057.50722   30.00000  44     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2548.21043    298.22010     26.27500  0.00074   0.05244   
58184.36247   ztfr   -589.61788    1213.69629    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2527.02490    295.90876     26.27500  0.00002   0.02876   
58184.36296   ztfr   749.85317     1492.28745    30.00000  64     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2785.34240    1121.31412    26.27500  0.00002   0.02846   
58184.42101   ztfr   -8.97714  2038.63993    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2537.59705    306.34737     26.27500  0.00003   0.03478   
58184.42249   ztfr   -361.79787    2638.29211    30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2794.98490    1132.14002    26.27500  0.00003   0.03900   
58184.44988   ztfr   3115.35612    8236.99457    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2541.97836    303.52071     26.27500  0.00011   0.04896   
58184.45038   ztfr   2163.09612    8534.44664    30.00000  8      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2797.76664    1128.85109    26.27500  0.00016   0.06082   
58184.49036   ztfr   8.97714   4275.24710    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2546.28681    299.76059     26.27500  0.00006   0.04719   
58184.49086   ztfr   2843.01519    5028.01894    30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2801.22924    1125.32916    26.27500  0.00005   0.04431   
58185.38200   ztfr   -727.01025    16903.19578   30.00000  44     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2533.54025    298.22489     26.27500  0.00035   0.05765   
58185.38398   ztfr   -13062.32680  11445.37077   30.00000  8      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2790.43855    1122.78282    26.27500  0.00016   0.04907   
58185.41972   ztfr   -2831.93152   3148.46080    30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2538.56724    301.09858     26.27500  0.00004   0.04308   
58185.42071   ztfr   2090.07595    2245.24192    30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2794.80326    1127.44656    26.27500  0.00003   0.03696   
58185.45137   ztfr   3174.34396    23645.24487   30.00000  44     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   0      2543.45880    303.58338     26.27500  0.00341   0.08963   
58185.45185   ztfr   -12566.70878  14871.15848   30.00000  12     99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2798.08898    1128.47437    26.27500  0.00142   0.12529   
58186.36167   ztfr   361.77004     596.13413     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2785.90171    1116.85007    26.27500  0.00001   0.02322   
58186.36213   ztfr   32.58891  612.95221     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2529.49095    291.51424     26.27500  0.00002   0.02685   
58186.38502   ztfr   -811.63931    655.44284     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2535.21511    295.06019     26.27500  0.00002   0.02832   
58186.38549   ztfr   -65.86077     579.53832     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2790.35180    1119.95771    26.27500  0.00002   0.02418   
58186.42507   ztfr   486.84092     588.80246     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2792.57194    1121.91672    26.27500  0.00002   0.02492   
58186.42553   ztfr   523.17171     824.23400     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2538.39367    297.34047     26.27500  0.00002   0.02794   
58186.44509   ztfr   704.24511     646.59742     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2797.74630    1124.38434    26.27500  0.00002   0.02415   
58186.44556   ztfr   508.96745     795.41078     30.00000  32     99.00000  99.00000  1757   27     -46.12764     100.26181     1.00000   1      2544.44990    299.00682     26.27500  0.00002   0.02710   
58198.38049   ztfr   428.32167     775.90733     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2786.52813    1121.78053    26.27500  0.00002   0.02814   
58198.41100   ztfr   376.47493     583.56473     30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   1      2792.50535    1116.23825    26.27500  0.00002   0.02571   
58199.32693   ztfr   -2221.72495   3168.12693    30.00000  0      99.00000  99.00000  718    54     144.88958     46.20644  1.00000   0      2778.95328    1078.32161    26.27500  0.00005   0.04561   
58202.30873   ztfg   0.58434   893.50218     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2777.86162    1075.61733    26.27429  0.00002   0.03205   
58202.31506   ztfg   -138.06811    746.71530     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2777.16108    1082.36016    26.29051  0.00002   0.03145   
58202.35175   ztfg   347.14165     814.47077     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2781.57028    1085.77159    26.29115  0.00003   0.03517   
58202.35844   ztfg   1762.99929    652.97585     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2782.40389    1089.96642    26.28007  0.00002   0.03167   
58202.38345   ztfg   641.04273     651.29793     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2785.62440    1091.25589    26.28628  0.00002   0.03232   
58203.34539   ztfg   680.29123     879.20021     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2780.52126    1093.88293    26.31981  0.00002   0.03291   
58203.36002   ztfg   -506.47319    829.23045     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2781.44520    1090.66790    26.30085  0.00003   0.03505   
58203.38650   ztfg   -1073.87926   1077.77136    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2787.24868    1090.06387    26.28226  0.00003   0.03654   
58203.40938   ztfg   721.29326     833.78094     30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2790.63416    1087.07323    26.30186  0.00003   0.03750   
58204.30215   ztfg   1897.42173    1440.20754    30.00000  320    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2781.39114    1088.16311    26.31287  0.00004   0.04020   
58204.32716   ztfg   -297.48634    1217.59903    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2782.03888    1087.25144    26.31986  0.00003   0.03461   
58204.33946   ztfg   1344.45762    1601.81930    30.00000  320    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2785.29231    1085.03217    26.31219  0.00005   0.04185   
58204.36184   ztfg   163.27503     1128.14266    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2787.50421    1088.03245    26.30705  0.00002   0.03252   
58204.39215   ztfg   515.19649     1199.71347    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2789.80746    1095.09001    26.30779  0.00003   0.03753   
58204.39707   ztfg   -1186.71332   1255.75469    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2790.10550    1091.73961    26.31105  0.00003   0.03545   
58205.29924   ztfg   102.96254     1375.50883    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2824.48831    1071.30945    26.32500  0.00003   0.03644   
58205.30215   ztfg   2411.61473    1433.97540    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2824.03582    1073.34427    26.32500  0.00003   0.03824   
58205.32197   ztfg   1127.07969    1417.39885    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2826.61355    1083.51852    26.32500  0.00004   0.04131   
58205.33985   ztfg   1120.46560    1789.05666    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2828.57046    1080.11317    26.32500  0.00004   0.03633   
58205.34764   ztfg   -640.21156    2608.47679    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2829.83347    1089.38662    26.32500  0.00006   0.04424   
58205.36260   ztfg   1643.37722    1984.73055    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2832.43338    1083.05952    26.32500  0.00005   0.04174   
58205.37830   ztfg   2043.28821    1856.25631    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2835.06589    1083.98444    26.32500  0.00003   0.03589   
58205.39910   ztfg   -1605.45653   2182.24536    30.00000  320    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2835.64968    1086.70485    26.32500  0.00005   0.03983   
58206.29692   ztfg   289.13140     1343.16630    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2824.84119    1056.04147    26.32500  0.00003   0.03395   
58206.30909   ztfg   -115.10110    1459.09414    30.00000  288    99.00000  99.00000  1757   27     -428.03446    341.50376     1.12390   1      2569.56165    233.65751     26.24590  0.00003   0.03538   
58206.31757   ztfg   -245.16975    1290.07058    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2828.80658    1060.08975    26.32500  0.00003   0.03464   
58206.33993   ztfg   -933.85561    1263.18652    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2830.72930    1063.70598    26.32500  0.00003   0.03317   
58206.36274   ztfg   -42.44500     1179.88626    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2830.21202    1069.35782    26.32500  0.00002   0.03250   
58206.39512   ztfg   590.47452     1344.35457    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2836.67032    1068.34147    26.32500  0.00003   0.03752   
58206.39698   ztfg   860.66657     1304.52608    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2837.58336    1072.18580    26.32500  0.00002   0.03133   
58207.30311   ztfg   666.21945     1825.46009    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2832.00787    1088.37099    26.32500  0.00004   0.03839   
58207.32020   ztfg   -367.14537    1747.32701    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2833.62662    1090.57108    26.32500  0.00003   0.03598   
58207.34701   ztfg   234.67775     1662.88210    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2834.51136    1087.60865    26.32500  0.00004   0.04306   
58207.35855   ztfg   1975.52598    1517.02727    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2839.80596    1089.40812    26.32500  0.00004   0.04091   
58207.37769   ztfg   -1486.61275   1612.99542    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2840.94734    1087.85517    26.32500  0.00004   0.04135   
58207.39873   ztfg   1002.00583    1450.44036    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2842.93729    1087.88374    26.32500  0.00004   0.04114   
58208.29800   ztfg   10554.59301   8475.84276    30.00000  268    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2784.37498    1042.58480    25.51015  0.00044   0.05785   
58208.32378   ztfg   -19678.59570  8992.81899    30.00000  268    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2785.59504    1046.35187    25.50645  0.00089   0.07303   
58208.34378   ztfg   33752.32384   15255.78094   30.00000  268    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2787.89480    1054.18676    26.32500  0.00450   0.07773   
58208.34473   ztfg   -14903.73591  9296.76735    30.00000  268    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2787.56869    1054.35564    25.44192  0.00038   0.04716   
58208.36576   ztfg   3476.49895    3116.18751    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2789.39392    1052.57696    26.15155  0.00008   0.04832   
58208.39199   ztfg   923.63581     4455.09783    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   1      2793.91016    1051.63469    25.94293  0.00016   0.05588   
58208.39291   ztfg   -5902.25181   4915.59136    30.00000  256    99.00000  99.00000  718    54     -56.29116     22.61107  1.00000   0      2793.52240    1051.44220    25.89115  0.00016   0.05671   
