# ZTF DR2 lightcurve of ZTF20abatows
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         243.53234, 30.04166
# year:           2020
# n_detect (sn):  267, 267
# mjd_max_init:   58996.31327  (phot: fclump)
# sn_range:       58896.31327 => 59975.10265
# baseline_range: 58198.39413 => 59975.10265
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    679    06   ztfg     -239.21       30.16     1.00    -275.86      648.11     664    597       1
#    679    06   ztfr       -5.20       28.20     1.00      -8.54      557.17     717    636       1
#    679    06   ztfi     -128.84      199.21     1.00    -232.47      752.81      52    341       1
#   1677    47   ztfg      -68.99      361.39     1.00     148.86      781.90      14     11       1
#   1677    47   ztfr       -8.54      247.05     1.00      52.69      677.12      28     11       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    679    06   ztfg     -239.21       30.16     1.00    -275.86      648.11     664    597       1
#    679    06   ztfr       -5.20       28.20     1.00      -8.54      557.17     717    636       1
#    679    06   ztfi     -128.84      199.21     1.00    -232.47      752.81      52    341       1
#   1677    47   ztfg      -68.99      361.39     1.00     148.86      781.90      14     11       1
#   1677    47   ztfr       -8.54      247.05     1.00      52.69      677.12      28     11       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    679    06   ztfg        0.00        0.00     1.00       0.00        0.00       0    597       0
#    679    06   ztfr        0.00        0.00     1.00       0.00        0.00       0    636       0
#    679    06   ztfi        0.00        0.00     1.00       0.00        0.00       0    341       0
#   1677    47   ztfg        0.00        0.00     1.00       0.00        0.00       0     11       0
#   1677    47   ztfr        0.00        0.00     1.00       0.00        0.00       0     11       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58198.39413   ztfr   -1075.89314   585.03413     30.00000  0      99.00000  99.00000  679    6      -5.20343  28.20199  1.00000   1      2507.18156    1595.29364    26.27500  0.00001   0.02072   
58198.39862   ztfr   -516.94892    584.37076     30.00000  0      99.00000  99.00000  679    6      -5.20343  28.20199  1.00000   1      2508.25604    1600.42748    26.27500  0.00001   0.02117   
58198.43508   ztfr   -221.41529    540.68724     30.00000  0      99.00000  99.00000  679    6      -5.20343  28.20199  1.00000   1      2513.95932    1606.38299    26.27500  0.00001   0.02214   
58198.45557   ztfr   -6.95682  616.22350     30.00000  0      99.00000  99.00000  679    6      -5.20343  28.20199  1.00000   1      2516.05332    1611.72132    26.27500  0.00001   0.02384   
58198.46275   ztfr   -156.32031    731.03996     30.00000  0      99.00000  99.00000  679    6      -5.20343  28.20199  1.00000   1      2516.34992    1613.75007    26.27500  0.00001   0.02209   
58198.49664   ztfr   -292.64768    550.86648     30.00000  0      99.00000  99.00000  679    6      -5.20343  28.20199  1.00000   1      2526.05474    1614.23126    26.23120  0.00001   0.02280   
58203.41513   ztfg   -346.40706    680.31808     30.00000  256    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   1      2509.10598    1575.81316    26.24800  0.00001   0.02873   
58203.42150   ztfg   1.82225   1870.64369    30.00000  264    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   0      2508.35056    1578.78497    25.33410  0.00002   0.04253   
58203.42245   ztfg   4449.12462    2705.67785    30.00000  264    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   0      2508.85147    1578.87386    24.80876  0.00004   0.04868   
58203.49558   ztfg   619.55197     552.31785     30.00000  256    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   1      2519.33449    1592.57336    26.29866  0.00001   0.02843   
58204.40273   ztfg   -501.55129    1200.12516    30.00000  256    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   1      2510.55960    1577.17795    26.31792  0.00002   0.03889   
58204.42641   ztfg   2252.40141    1071.91182    30.00000  256    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   0      2510.25733    1585.24229    26.31720  0.00001   0.03505   
58204.44613   ztfg   -280.73742    1074.76682    30.00000  320    99.00000  99.00000  679    6      -239.20691    30.15783  1.00000   1      2512.97164    1588.34618    26.31935  0.00002   0.03747   
