# ZTF DR2 lightcurve of ZTF20abcawtk
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         243.53507, 30.04295
# year:           2020
# n_detect (sn):  228, 221
# mjd_max_init:   59015.38550  (phot: fclump)
# sn_range:       58915.38550 => 59403.92597
# baseline_range: 58198.39413 => 59890.10348
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    679    06   ztfg      129.59       28.20     1.00     147.76      629.25     815    409       1
#    679    06   ztfr       25.26       33.56     1.00      94.07      651.01     903    389       1
#    679    06   ztfi      471.39       92.76     1.00     587.99     1100.25     100    278       1
#   1677    47   ztfg     -199.01      134.24     1.00     119.88     1015.03      17      8       1
#   1677    47   ztfr      212.48      122.41     1.00     109.59      742.81      32      5       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    679    06   ztfg       94.54       31.29     1.00     138.93      643.27     669    409       1
#    679    06   ztfr      -11.88       31.83     1.00      70.85      621.25     720    389       1
#    679    06   ztfi      477.97      130.08     1.00     568.09     1166.13      52    278       1
#   1677    47   ztfg     -197.52      172.31     1.00     235.20     1004.40      14      8       1
#   1677    47   ztfr      212.48      117.40     1.00      75.05      769.29      28      5       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    679    06   ztfg      239.80       63.89     1.00     195.60      571.86     146    409       1
#    679    06   ztfr      201.12       85.62     1.04     237.67      785.16     183    389       1
#    679    06   ztfi      462.65      161.63     1.00     611.32     1047.93      48    278       1
#   1677    47   ztfg     -239.55     1278.90     1.87    -573.81     1046.89       3      8       1
#   1677    47   ztfr      206.87      432.53     1.03    -368.96     1208.18       6      5       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58198.39413   ztfr   -756.40063    601.57462     30.00000  0      99.00000  99.00000  679    6      25.25540  33.55867  1.00000   1      2498.81427    1590.65969    26.27500  0.00001   0.02072   
58198.39862   ztfr   148.05471     590.09436     30.00000  0      99.00000  99.00000  679    6      25.25540  33.55867  1.00000   1      2499.88834    1595.79396    26.27500  0.00001   0.02117   
58198.43508   ztfr   352.94518     530.41001     30.00000  0      99.00000  99.00000  679    6      25.25540  33.55867  1.00000   1      2505.59074    1601.75025    26.27500  0.00001   0.02214   
58198.45557   ztfr   -617.07214    636.94141     30.00000  0      99.00000  99.00000  679    6      25.25540  33.55867  1.00000   1      2507.68456    1607.08889    26.27500  0.00001   0.02384   
58198.46275   ztfr   382.65421     726.23191     30.00000  0      99.00000  99.00000  679    6      25.25540  33.55867  1.00000   1      2507.98098    1609.11773    26.27500  0.00001   0.02209   
58198.49664   ztfr   207.26135     558.54730     30.00000  0      99.00000  99.00000  679    6      25.25540  33.55867  1.00000   1      2517.68528    1609.59924    26.23120  0.00001   0.02280   
58203.41513   ztfg   -1125.19649   657.56142     30.00000  256    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2500.70287    1571.22523    26.24800  0.00001   0.02873   
58203.42150   ztfg   848.49613     1832.91927    30.00000  264    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   0      2499.94728    1574.19658    25.33410  0.00002   0.04253   
58203.42245   ztfg   3377.30895    2759.23496    30.00000  264    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   0      2500.44826    1574.28560    24.80876  0.00004   0.04868   
58203.49558   ztfg   -411.23478    554.74701     30.00000  256    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2510.93042    1587.98523    26.29866  0.00001   0.02843   
58204.40273   ztfg   -147.59292    1192.80933    30.00000  256    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2502.15698    1572.59042    26.31792  0.00002   0.03889   
58204.42641   ztfg   -106.83850    1124.88801    30.00000  256    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2501.85476    1580.65447    26.31720  0.00001   0.03505   
58204.44613   ztfg   -1064.55171   1080.20032    30.00000  320    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2504.56809    1583.75836    26.31935  0.00002   0.03747   
58204.47315   ztfg   -557.18849    541.31447     30.00000  256    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2509.75590    1585.85108    26.32169  0.00001   0.02835   
58204.50278   ztfg   -167.74058    585.69979     30.00000  256    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   1      2516.10975    1585.23187    26.31544  0.00001   0.02791   
58205.40544   ztfg   -4575.33526   2272.38321    30.00000  320    99.00000  99.00000  679    6      129.58884     28.19846  1.00000   0      2558.41944    1573.08943    26.03631  0.00002   0.04235   
