# ZTF DR2 lightcurve of ZTF20abmarcv
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         311.32101, 7.11329
# year:           2020
# n_detect (sn):  68, 40
# mjd_max_init:   59055.37673  (phot: fclump)
# sn_range:       58955.37673 => 59452.01839
# baseline_range: 58226.50103 => 59906.12446
# -------- #
# baseline_corr (applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
# 491    50   ztfg     -149.64       89.45     1.23     216.68     1038.96     127    105       1
# 491    50   ztfr      453.31       32.64     1.00     475.99      627.80     273    163       1
# 491    50   ztfi     1677.96      349.83     1.00    1714.88     1372.40      72     29       1
# 1538    31   ztfg     -154.26      299.86     1.10    -196.53      783.95      15     25       1
# 1538    31   ztfr    -8507.81      795.46     1.43   -8318.44     1068.74       8     37       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
# 491    50   ztfg     -165.16      113.31     1.00    -151.51      706.66      63    105       1
# 491    50   ztfr      432.93       63.14     1.00     314.97      547.74     209    163       1
# 491    50   ztfi     1285.00      359.95     1.00    1169.34      870.16      26     29       1
# 1538    31   ztfg     -154.26      299.86     1.10    -196.53      783.95      15     25       1
# 1538    31   ztfr    -7799.87      725.08     1.48   -8173.39     1007.41       7     37       1
# -------- #
# alt_baseline_corr (post-explosion: not applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
# 491    50   ztfg      -34.91      202.60     2.05     924.69     1669.60      64    105       1
# 491    50   ztfr      616.29      142.39     3.61    1591.87     2568.33      66    163       1
# 491    50   ztfi     1946.53      350.20     1.53    2432.09     2443.07      48     29       1
# 1538    31   ztfg        0.00        0.00     1.00       0.00        0.00       0     25       0
# 1538    31   ztfr    -9778.32        0.00     1.00   -9778.32        0.00       1     37       0
# --------------- #
mjd filter flux flux_err ZP flag mag mag_err field_id rcid flux_offset offset_unc err_scale in_baseline x_pos y_pos native_ZP native_ZP_err native_ZP_rms zpsys
59352.42626 ztfr 1221.0457 915.16998 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2355.26447 1111.64918 26.179 1e-05 0.02294 ab
59352.4636 ztfg 530.38309 913.85733 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2363.63995 1113.66124 26.23419 1e-05 0.03587 ab
59354.44374 ztfg -3299.28118 1747.3945 30.0 324 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2366.21281 1125.32297 26.28562 1e-05 0.04038 ab
59354.46174 ztfi -1860.44944 1921.70014 30.0 256 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2366.55106 1129.03104 25.56628 1e-05 0.02681 ab
59357.42278 ztfg 819.50209 2034.78455 30.0 256 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2353.1218 1152.68906 26.28956 1e-05 0.02683 ab
59359.40149 ztfr 496.09401 1803.92435 30.0 256 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2362.10743 1079.05088 26.2213 1e-05 0.01918 ab
59359.45656 ztfg 1594.50676 2277.98193 30.0 256 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2364.71305 1097.01182 26.3066 1e-05 0.0265 ab
59362.42145 ztfg -1549.31245 2134.69858 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2405.5947 1095.48865 26.34981 1e-05 0.02606 ab
59363.42208 ztfi -1463.11654 1852.4903 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2386.55619 1124.8663 25.62618 1e-05 0.02227 ab
59364.39939 ztfg -3305.48843 2240.3933 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2374.32896 1089.1932 26.25117 1e-05 0.02656 ab
59364.44094 ztfr 607.77811 1243.88796 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2375.97616 1094.98083 26.27627 1e-05 0.01607 ab
59366.41187 ztfr 979.97995 995.91097 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2408.46256 1094.96144 26.23569 1e-05 0.01583 ab
59366.42053 ztfi -1760.91835 1799.46041 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2392.3074 1107.52592 25.55827 1e-05 0.02202 ab
59368.42979 ztfr 347.8063 828.7832 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2394.08222 1098.08354 26.2509 1e-05 0.01699 ab
59368.44547 ztfg 596.5474 1068.57357 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2384.96801 1097.82738 26.2945 1e-05 0.02428 ab
59369.35199 ztfi -630.94197 1426.39808 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2373.75304 1069.90571 25.52965 1e-05 0.02332 ab
59369.48161 ztfr -234.02099 1712.69384 30.0 32 99.0 99.0 1538 31 -8507.80636 795.46431 1.4336 0 2575.41849 278.42947 26.27084 1e-05 0.01461 ab
59370.41921 ztfg -1044.19116 683.12438 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2391.31786 1091.11 26.28767 1e-05 0.0289 ab
59370.44436 ztfr 438.32228 524.36261 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2392.41537 1099.29408 26.25917 1e-05 0.01922 ab
59373.40042 ztfr 2218.43265 734.15503 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2391.9196 1114.11589 26.27184 1e-05 0.0192 ab
59373.45804 ztfg -40.01439 880.45898 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2379.08916 1117.8416 26.33238 1e-05 0.03332 ab
59375.44311 ztfi 855.39254 1718.29919 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2382.78038 1136.39383 25.6083 1e-05 0.02417 ab
59376.40028 ztfg -338.86621 830.83696 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2367.52615 1094.84673 26.32446 1e-05 0.02573 ab
59376.43325 ztfr -27.44296 631.95677 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2378.80711 1088.94058 26.29242 1e-05 0.01683 ab
59376.48101 ztfr 1550.65584 1615.72567 30.0 32 99.0 99.0 1538 31 -8507.80636 795.46431 1.4336 0 2557.97031 278.83226 26.28873 1e-05 0.01766 ab
