# ZTF DR2 lightcurve of ZTF20abptxls
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         18.51786, -1.74095
# year:           2020
# n_detect (sn):  193, 190
# mjd_max_init:   59085.40978  (phot: fclump)
# sn_range:       58985.40978 => 59942.79392
# baseline_range: 58289.46525 => 59942.79392
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    398    34   ztfg     -622.00       71.28     1.00    -799.68      891.71      97    139       1
#    398    34   ztfr     -331.03      105.54     1.08    -322.88     1126.68     107    187       1
#    398    34   ztfi    -3239.81      888.51     1.37   -1451.27     2377.28      10     61       1
#   1443    08   ztfg     -959.52      464.82     1.06    -413.33     1023.21      17     32       1
#   1443    08   ztfr      -61.63      586.55     1.14     322.79     1086.06      29     15       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    398    34   ztfg     -622.00       71.28     1.00    -799.68      891.71      97    139       1
#    398    34   ztfr     -331.03      105.54     1.08    -322.88     1126.68     107    187       1
#    398    34   ztfi    -3239.81      888.51     1.37   -1451.27     2377.28      10     61       1
#   1443    08   ztfg     -959.52      464.82     1.06    -413.33     1023.21      17     32       1
#   1443    08   ztfr      -61.63      586.55     1.14     322.79     1086.06      29     15       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    398    34   ztfg        0.00        0.00     1.00       0.00        0.00       0    139       0
#    398    34   ztfr        0.00        0.00     1.00       0.00        0.00       0    187       0
#    398    34   ztfi        0.00        0.00     1.00       0.00        0.00       0     61       0
#   1443    08   ztfg        0.00        0.00     1.00       0.00        0.00       0     32       0
#   1443    08   ztfr        0.00        0.00     1.00       0.00        0.00       0     15       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58289.46525   ztfr   3239.04709    1436.27195    30.00000  384    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   0      56.80183  98.65811  26.19253  0.00003   0.03366   
58298.45788   ztfr   -3990.37489   2950.40815    30.00000  64     99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   0      48.67800  241.86442     26.15369  0.00004   0.03972   
58298.48131   ztfg   276.73731     3882.33036    30.00000  64     99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      53.37210  256.47311     26.14872  0.00008   0.03735   
58301.44170   ztfr   -3494.93849   2259.67220    30.00000  128    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   0      53.60563  128.36494     26.16679  0.00004   0.03939   
58307.46095   ztfg   -194.95400    1075.43448    30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      55.13351  251.49002     26.01263  0.00003   0.03410   
58312.44221   ztfr   1347.72926    1048.00673    30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      55.80673  210.94384     26.02176  0.00002   0.02822   
58315.44257   ztfg   -1531.60685   935.71083     30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      58.99952  258.37447     25.91004  0.00003   0.03363   
58315.48231   ztfr   693.83988     1151.03219    30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      64.87868  278.15697     25.98954  0.00003   0.03218   
58318.44214   ztfg   -404.51729    689.69297     30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      50.56435  154.16316     26.17382  0.00002   0.02976   
58321.44183   ztfg   -54.78717     924.74216     30.00000  256    99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      49.37742  172.38423     26.19279  0.00003   0.03355   
58321.47931   ztfr   -812.39160    852.71805     30.00000  256    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      53.17420  184.30492     26.29074  0.00002   0.02517   
58324.43685   ztfg   864.22666     2596.37545    30.00000  256    99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      50.33517  306.24635     25.87032  0.00008   0.04965   
58324.48269   ztfr   -364.16060    863.37876     30.00000  256    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      58.19998  326.43851     26.23172  0.00002   0.02626   
58327.42110   ztfr   37960.16170   16828.13718   30.00000  8      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   0      51.96594  157.71707     25.10896  0.00014   0.04883   
58330.48112   ztfg   -3287.21548   3025.42704    30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   0      17.23166  281.92907     26.14533  0.00005   0.03816   
58334.46410   ztfg   2312.81320    1467.86125    30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   0      16.98636  293.69348     26.20762  0.00004   0.03575   
58335.47807   ztfr   183.26868     1055.99259    30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      70.14030  251.56292     26.28517  0.00002   0.02259   
58335.47853   ztfr   1218.21374    1021.60711    30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      70.40725  251.60382     26.28070  0.00002   0.02448   
58335.47898   ztfr   1232.97173    1337.53365    30.00000  32     99.00000  99.00000  1443   8      -61.63178     586.54711     1.13586   1      1919.25050    2495.74424    26.19645  0.00002   0.02432   
58337.41781   ztfg   1045.64024    842.30476     30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      63.88158  262.04320     26.17807  0.00003   0.03407   
58337.48198   ztfr   151.64018     975.52297     30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      76.95788  282.60725     26.25076  0.00002   0.02625   
58340.43947   ztfr   1503.77569    1090.43431    30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      63.30725  351.00802     25.92212  0.00002   0.02772   
58340.46081   ztfg   -1476.46922   1030.00861    30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      67.39406  352.82768     25.89965  0.00003   0.03218   
58343.46106   ztfr   2589.56315    820.68524     30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   0      69.53214  300.67406     26.22740  0.00002   0.02829   
58345.38286   ztfr   2147.75317    846.64270     30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      61.69722  164.58568     26.16341  0.00002   0.02925   
58346.41828   ztfr   -8.28583  834.12220     30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      65.38905  285.88041     26.18576  0.00002   0.02984   
58346.43689   ztfr   -514.65187    884.35213     30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      66.83707  290.26857     26.19534  0.00002   0.02788   
58346.47801   ztfg   358.17387     949.82420     30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      76.74649  293.78533     26.10457  0.00003   0.03177   
58346.47892   ztfg   161.50089     934.08673     30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      76.95281  294.29816     26.11821  0.00003   0.03254   
58347.43177   ztfr   -375.17464    856.28984     30.00000  0      99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      67.07924  366.65161     26.22457  0.00002   0.02794   
58347.46389   ztfg   816.37832     653.76740     30.00000  0      99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      78.95720  372.82042     26.18170  0.00002   0.02659   
58348.38274   ztfg   1401.86924    824.32964     30.00000  256    99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      59.80235  120.85309     26.12568  0.00003   0.03101   
58348.43737   ztfr   1064.75886    734.00677     30.00000  256    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      65.15459  130.43267     26.25585  0.00002   0.02796   
58349.41843   ztfg   -1977.72278   811.82994     30.00000  256    99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   0      63.78300  123.30141     26.20008  0.00002   0.02939   
58349.41934   ztfg   2006.47498    780.91154     30.00000  256    99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   0      64.24113  123.60088     26.19523  0.00002   0.03018   
58349.50013   ztfr   1258.89363    959.99219     30.00000  256    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      81.93373  127.98201     26.26032  0.00002   0.02554   
58350.41449   ztfr   -644.30137    716.14841     30.00000  256    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      64.94338  126.69221     26.24326  0.00002   0.02710   
58350.44019   ztfg   1517.21394    868.20979     30.00000  320    99.00000  99.00000  398    34     -622.00446    71.28131  1.00000   1      70.46019  131.18121     26.19972  0.00003   0.03463   
58351.39238   ztfr   -1507.63703   648.81334     30.00000  256    99.00000  99.00000  398    34     -331.02656    105.54304     1.08124   1      60.11913  120.55439     26.23043  0.00002   0.02836   
