# ZTF DR2 lightcurve of ZTF20abqefja
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         250.91893, 33.53903
# year:           2020
# n_detect (sn):  170, 169
# mjd_max_init:   59075.19633  (phot: fclump)
# sn_range:       58975.19633 => 59530.21126
# baseline_range: 58158.46579 => 59898.09972
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    680    43   ztfg     -191.20       27.16     1.03    -175.24      769.93     702    435       1
#    680    43   ztfr       25.18       60.05     1.40      -4.82     1090.80     694    437       1
#    680    43   ztfi     -630.71      287.01     1.15    -683.59     1445.71      80    133       1
#   1721    03   ztfr      -59.30      350.90     1.16     -36.47     1196.98      32      7       1
#   1722    14   ztfg     -588.27      423.43     1.05    -966.53     1288.80      16      7       1
#   1722    14   ztfr       64.11      263.27     1.29     -13.00     1259.44      39      6       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    680    43   ztfg     -118.75       37.08     1.03    -105.70      814.17     531    435       1
#    680    43   ztfr      -30.58       49.42     1.45    -137.57     1131.30     501    437       1
#    680    43   ztfi     -740.26      349.25     1.20    -966.80     1535.25      46    133       1
#   1721    03   ztfr      -59.30      350.90     1.16     -36.47     1196.98      32      7       1
#   1722    14   ztfg     -348.24       77.06     1.00    -463.28     1160.58       9      7       1
#   1722    14   ztfr       64.11      263.27     1.29     -13.00     1259.44      39      6       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    680    43   ztfg     -394.91       65.32     1.00    -346.18      643.67     171    435       1
#    680    43   ztfr      238.28       85.95     1.27     311.22     1010.55     193    437       1
#    680    43   ztfi     -502.73      459.73     1.27    -380.91     1593.56      36    133       1
#   1721    03   ztfr        0.00        0.00     1.00       0.00        0.00       0      7       0
#   1722    14   ztfg     -938.08      556.26     1.22   -1799.51     1274.62       7      7       1
#   1722    14   ztfr        0.00        0.00     1.00       0.00        0.00       0      6       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58158.46579   ztfr   -2318.61620   1070.45948    30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      440.52465     2735.34790    26.27500  0.00001   0.02029   
58158.46627   ztfr   0.00000   1353.21204    30.00000  32     99.00000  99.00000  1722   14     64.11060  263.26929     1.28646   1      2444.18961    1675.62031    26.27500  0.00001   0.02430   
58158.48686   ztfr   -2847.76816   1082.71425    30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   0      443.16070     2745.32602    26.27500  0.00001   0.02007   
58158.48736   ztfr   2111.67573    1279.70805    30.00000  32     99.00000  99.00000  1722   14     64.11060  263.26929     1.28646   1      2448.17439    1685.19120    26.27500  0.00001   0.02335   
58158.51226   ztfr   -2055.73322   1191.14106    30.00000  32     99.00000  99.00000  1722   14     64.11060  263.26929     1.28646   1      2452.36884    1695.92199    26.27500  0.00001   0.02418   
58158.51274   ztfr   -1366.12848   965.52441     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      445.80490     2756.22743    26.27500  0.00001   0.01963   
58158.52634   ztfr   -144.04410    994.54613     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      446.88586     2762.30633    26.27500  0.00001   0.02048   
58158.53179   ztfr   -252.34813    1114.02721    30.00000  32     99.00000  99.00000  1722   14     64.11060  263.26929     1.28646   1      2454.76478    1703.01082    26.27500  0.00001   0.02523   
58158.54566   ztfr   -1130.80178   1027.21713    30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      449.11342     2768.31791    26.27500  0.00001   0.01964   
58158.54615   ztfr   -1641.68433   1152.56440    30.00000  32     99.00000  99.00000  1722   14     64.11060  263.26929     1.28646   1      2458.83724    1707.85157    26.27500  0.00001   0.02585   
58198.39366   ztfr   -1429.22098   883.10907     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      438.36350     2781.79663    26.27500  0.00001   0.01894   
58198.43461   ztfr   -1716.08549   852.80576     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      443.96216     2795.07293    26.27500  0.00001   0.01944   
58198.45416   ztfr   -1426.62479   897.26765     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      444.75118     2800.40562    26.27500  0.00001   0.02049   
58198.45509   ztfr   878.78045     835.56082     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      445.39775     2800.88103    26.27500  0.00001   0.02115   
58198.46322   ztfr   -1618.35533   975.95163     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      445.06285     2804.62936    26.27500  0.00001   0.01949   
58198.46470   ztfr   -486.04449    887.88800     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      445.93818     2804.09068    26.27500  0.00001   0.02125   
58198.49618   ztfr   -230.74064    851.60047     30.00000  0      99.00000  99.00000  680    43     25.18398  60.04809  1.40075   1      451.59130     2806.76516    26.27500  0.00001   0.02258   
58203.39928   ztfg   488.67864     960.19109     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      436.46130     2761.52088    26.28443  0.00001   0.02959   
58203.42198   ztfg   -2009.67116   1533.31429    30.00000  264    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      438.62445     2768.11952    25.54799  0.00001   0.03829   
58203.42293   ztfg   820.95709     1368.66347    30.00000  264    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      439.24623     2768.48398    25.64388  0.00001   0.03503   
58203.49655   ztfg   1936.66894    739.83420     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      450.57785     2785.82694    26.32165  0.00001   0.02736   
58204.40725   ztfg   -2993.82198   1478.97454    30.00000  320    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      439.54260     2770.85567    26.31779  0.00001   0.03783   
58204.42689   ztfg   258.38473     1234.43839    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      440.13463     2775.96086    26.32501  0.00001   0.03370   
58204.44661   ztfg   3449.11391    1252.68847    30.00000  320    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      442.19943     2780.27659    26.33479  0.00001   0.03536   
58204.47362   ztfg   27.87653  690.68315     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      445.41215     2783.87167    26.33797  0.00001   0.02436   
58204.48593   ztfg   -541.54458    763.38759     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      447.47069     2784.46287    26.33554  0.00001   0.02809   
58204.50344   ztfg   -576.04051    717.06930     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      453.96515     2785.12631    26.33208  0.00001   0.02571   
58205.42537   ztfg   -644.01749    10009.81649   30.00000  264    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      493.29907     2767.92095    24.69214  0.00008   0.05017   
58205.44366   ztfg   1121.49824    1553.58895    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      494.76490     2773.05955    26.24855  0.00001   0.03676   
58205.46824   ztfg   100.05275     1039.42895    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      497.54374     2775.63250    26.30619  0.00001   0.02898   
58205.49126   ztfg   -326.35232    1016.46873    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      504.73692     2776.85209    26.31454  0.00001   0.03208   
58205.50691   ztfg   -9.53321  739.69773     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      504.62136     2777.80640    26.30608  0.00001   0.02638   
58205.52412   ztfg   58.82718  709.12777     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      508.58201     2777.43325    26.30040  0.00001   0.02499   
58206.40450   ztfg   120.12473     1302.21117    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      493.68814     2745.76093    26.32647  0.00001   0.03107   
58206.42267   ztfg   -161.85774    1166.97079    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      495.39079     2754.51104    26.33821  0.00001   0.03082   
58206.45279   ztfg   -601.10396    1210.87907    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      498.31806     2760.80513    26.34092  0.00001   0.02980   
58206.46480   ztfg   -679.08564    1137.98820    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      499.63050     2761.76749    26.34218  0.00001   0.02843   
58206.46575   ztfg   46.16694  1200.78437    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      498.69055     2762.13384    26.34292  0.00001   0.03010   
58206.49532   ztfg   -626.79123    948.17953     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      503.08841     2761.55891    26.33818  0.00001   0.02987   
58206.50581   ztfg   1868.93103    928.65861     30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      504.31884     2760.98738    26.31331  0.00001   0.02818   
58206.50675   ztfg   157.89152     1102.59775    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      504.28091     2760.92484    26.23966  0.00001   0.03163   
58207.40484   ztfg   -2097.02340   1542.31131    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      499.05247     2764.08808    26.32500  0.00001   0.03416   
58207.43322   ztfg   -2212.92432   1731.26070    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      500.21184     2773.70403    26.32500  0.00001   0.03386   
58207.45005   ztfg   -1627.55328   1581.66200    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      502.14139     2777.03666    26.32500  0.00001   0.03324   
58207.47301   ztfg   -3730.59114   1859.69074    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      504.83803     2779.75531    26.34207  0.00001   0.03603   
58207.48874   ztfg   669.46150     1585.55112    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   1      508.06756     2781.06214    26.33181  0.00001   0.03290   
58207.50212   ztfg   3310.43748    1599.50180    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      510.27754     2780.09435    26.32500  0.00001   0.03555   
58208.42325   ztfg   -3608.30206   4488.48050    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      447.62629     2729.13719    25.94265  0.00002   0.04136   
58208.44509   ztfg   -3489.35088   5044.17004    30.00000  256    99.00000  99.00000  680    43     -191.19925    27.15593  1.02617   0      448.09951     2734.17000    25.90568  0.00003   0.04212   
