# ZTF DR2 lightcurve of ZTF20abujoya
# --------------- #
# phot_source:    FPbot (2022dec19)
# ra,dec:         59.92537, 26.58962
# year:           2020
# n_detect (sn):  31, 31
# mjd_max_init:   59084.41319  (phot: fclump)
# sn_range:       58984.41319 => 59486.36655
# baseline_range: 58131.10812 => 59829.49131
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    608    42   ztfg     -192.48      162.93     1.00    -304.21      822.13     150    105       1
#    608    42   ztfr      292.11       65.88     1.00     330.08      935.79     421    190       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    608    42   ztfg     -190.23      148.96     1.00    -286.34      807.50     121    105       1
#    608    42   ztfr      296.15       67.55     1.00     331.12      879.17     353    190       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    608    42   ztfg     -358.48      395.61     1.02    -313.93      994.24      31    105       1
#    608    42   ztfr      178.22      224.71     1.00     261.61     1328.59      68    190       1
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58131.10812   ztfg   -432.42999    1051.90850    30.00000  64     99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      616.81774     1843.20154    26.00000  0.00001   0.03172   
58131.13823   ztfg   -1212.84555   1215.95343    30.00000  64     99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      619.36108     1843.26329    26.00000  0.00001   0.03510   
58131.14733   ztfg   -464.86680    908.69063     30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      620.38292     1844.84065    26.00000  0.00001   0.02845   
58131.16880   ztfg   -511.83123    922.80503     30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      624.52325     1844.54875    26.00000  0.00001   0.02808   
58131.20523   ztfg   -1950.02927   1026.94903    30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      631.15226     1841.58366    26.00000  0.00001   0.03011   
58131.23204   ztfg   -1851.32709   1033.18149    30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      634.85264     1840.67741    26.00000  0.00001   0.03057   
58204.13911   ztfg   6095.88567    2817.32678    30.00000  324    99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      643.90327     1837.29037    26.29373  0.00008   0.04276   
58204.16023   ztfg   4318.53822    3706.59153    30.00000  332    99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      643.67302     1825.29711    26.23334  0.00164   0.05877   
58319.47373   ztfr   -2565.87613   1018.37127    30.00000  256    99.00000  99.00000  608    42     292.10700     65.87837  1.00000   0      590.45667     1775.35394    26.25168  0.00001   0.01976   
58322.46609   ztfg   -582.04503    921.81459     30.00000  256    99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      591.91697     1792.89892    26.16187  0.00001   0.02986   
58325.44591   ztfg   3520.86834    3177.43701    30.00000  384    99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      591.05722     1744.13058    25.98198  0.00002   0.03762   
58328.41954   ztfr   -21676.32355  9792.99701    30.00000  204    99.00000  99.00000  608    42     292.10700     65.87837  1.00000   0      544.27737     1780.34535    25.29055  0.00005   0.05035   
58334.44507   ztfr   -636.27396    1451.05732    30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      557.29879     1870.21935    26.27247  0.00001   0.02594   
58334.49127   ztfg   -1436.13657   1585.31906    30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      563.49968     1891.51699    26.22421  0.00001   0.03479   
58338.44302   ztfg   1896.60571    1079.90345    30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      606.55810     1933.19294    26.13216  0.00001   0.03500   
58338.49360   ztfr   -1135.60667   829.44251     30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      611.88683     1956.59951    26.31410  0.00001   0.01958   
58340.45302   ztfr   -495.65393    1083.81789    30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      603.98737     1937.56632    26.02563  0.00001   0.02460   
58340.48966   ztfg   378.01319     791.87754     30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      609.30530     1950.39128    25.95781  0.00001   0.02936   
58342.44262   ztfg   280.04519     1033.76197    30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      607.69104     1850.55030    25.98837  0.00001   0.03193   
58342.44353   ztfg   -395.72125    924.23066     30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      607.19436     1850.82602    25.99042  0.00001   0.03106   
58342.49588   ztfr   -158.34856    1038.02655    30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      611.57240     1868.79404    26.26546  0.00001   0.01943   
58342.49726   ztfr   1001.51661    1115.78827    30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      611.05875     1870.60513    26.26603  0.00001   0.02114   
58343.44524   ztfg   356.80406     709.92918     30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   1      607.69257     1886.21018    26.14877  0.00001   0.02606   
58343.48519   ztfr   -726.76546    837.60473     30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      610.40049     1904.15954    26.30734  0.00001   0.01705   
58344.46231   ztfr   -1320.71158   837.85625     30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      611.40276     2036.42561    26.28310  0.00001   0.01803   
58345.45318   ztfg   2706.01273    914.15305     30.00000  0      99.00000  99.00000  608    42     -192.47893    162.93258     1.00000   0      611.05927     1771.39125    26.11966  0.00001   0.03180   
58345.48627   ztfr   292.06584     861.38078     30.00000  0      99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      614.44402     1788.03293    26.27494  0.00001   0.01840   
58348.45351   ztfr   -763.81662    838.94447     30.00000  256    99.00000  99.00000  608    42     292.10700     65.87837  1.00000   1      609.97739     1730.22861    26.27551  0.00001   0.02006   
