# ZTF DR2 lightcurve of ZTF20abydkrl
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         66.59144, -10.09882
# year:           2020
# n_detect (sn):  332, 331
# mjd_max_init:   59117.99391  (phot: fclump)
# sn_range:       59017.99391 => 59767.30405
# baseline_range: 58206.13765 => 59905.24564
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    354    28   ztfg     -386.05      120.25     1.00    -472.12      841.93     104    238       1
#    354    28   ztfr     -367.54      115.94     1.00    -415.27      868.78     107    233       1
#    354    28   ztfi    -3537.61      439.40     1.11   -3521.02     1562.23      14     35       1
#   1346    57   ztfg   -16130.64      594.34     1.00  -16194.28     1095.15       9     39       1
#   1346    57   ztfr   -42668.09      666.53     1.00  -42612.29     1976.85      12     33       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    354    28   ztfg     -372.81      126.73     1.00    -449.08      835.54      99    238       1
#    354    28   ztfr     -370.23      104.47     1.00    -420.51      868.11     104    233       1
#    354    28   ztfi        0.00        0.00     1.00       0.00        0.00       0     35       0
#   1346    57   ztfg   -16338.91      556.25     1.00  -16256.28     1114.65       8     39       1
#   1346    57   ztfr   -42668.09      666.53     1.00  -42612.29     1976.85      12     33       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    354    28   ztfg     -996.18      482.76     1.00   -1030.68      711.18       5    238       1
#    354    28   ztfr      169.33     1002.75     1.25    -142.13      842.17       3    233       1
#    354    28   ztfi    -3537.61      439.40     1.11   -3521.02     1562.23      14     35       1
#   1346    57   ztfg   -15318.36        0.00     1.00  -15318.36        0.00       1     39       0
#   1346    57   ztfr        0.00        0.00     1.00       0.00        0.00       0     33       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58206.13765   ztfg   1297.65072    3683.18497    30.00000  448    99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      373.56270     572.92800     25.99581  0.00005   0.04055   
58338.48104   ztfr   -870.89221    1311.08832    30.00000  128    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      272.83274     700.33859     26.05802  0.00002   0.03334   
58344.48277   ztfg   1279.25703    821.10322     30.00000  128    99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      280.10241     794.57730     25.99051  0.00002   0.03203   
58350.46313   ztfg   -1335.53380   746.40137     30.00000  384    99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      276.41571     487.46211     25.91181  0.00002   0.03264   
58350.46404   ztfg   -144.82585    765.26507     30.00000  384    99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      276.78520     487.59174     25.89606  0.00002   0.03334   
58350.50181   ztfr   1899.18191    1033.59483    30.00000  256    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   0      285.39081     501.80335     26.09529  0.00002   0.03176   
58350.50791   ztfr   849.45450     1257.00991    30.00000  256    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      287.64444     503.26193     26.09698  0.00001   0.02644   
58353.44429   ztfr   -873.36081    1213.95146    30.00000  448    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      273.85841     435.67725     26.16515  0.00001   0.02506   
58353.44661   ztfr   625.28443     776.42218     30.00000  384    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      274.56818     436.39539     26.15839  0.00001   0.02310   
58354.44517   ztfr   -197.89103    1679.87907    30.00000  384    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      274.08283     514.61605     26.14807  0.00001   0.03028   
58356.44236   ztfr   -24.58192     2291.65736    30.00000  384    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      278.42520     543.64507     26.18612  0.00002   0.03357   
58356.45557   ztfr   2173.14005    1960.25931    30.00000  384    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   0      281.41328     548.23597     26.21337  0.00001   0.03017   
58357.43988   ztfr   -1451.88019   2186.35395    30.00000  128    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      275.57142     498.08338     26.18965  0.00002   0.03349   
58357.49810   ztfr   2173.75421    1925.64660    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   0      292.60063     517.89420     26.24895  0.00002   0.03157   
58358.46101   ztfr   -116.77753    1888.95902    30.00000  128    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      287.18291     491.82611     26.22810  0.00002   0.03336   
58359.45510   ztfr   1333.41007    1574.86558    30.00000  128    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      281.37305     552.41803     26.20183  0.00001   0.02966   
58359.45608   ztfr   -663.92854    1529.14717    30.00000  128    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      281.34444     552.69038     26.20255  0.00001   0.02680   
58359.50306   ztfr   -5.37907  1680.29714    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      295.29562     570.93665     26.14847  0.00001   0.03037   
58360.47880   ztfg   -410.71942    1843.09422    30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      291.33513     542.57018     26.18976  0.00002   0.03466   
58362.44259   ztfr   20.32876  1625.76586    30.00000  192    99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      283.13383     504.15903     26.23426  0.00001   0.02839   
58362.45743   ztfr   725.86983     1403.94836    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      283.61545     507.89120     26.24551  0.00001   0.02525   
58362.49829   ztfg   -2313.96776   1392.36786    30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   0      293.51868     520.46184     26.20762  0.00002   0.03564   
58362.49920   ztfg   308.68916     1420.13582    30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      294.31350     520.84389     26.22125  0.00002   0.03228   
58363.49485   ztfr   -1502.60235   1510.88326    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      293.31114     496.31769     26.20621  0.00001   0.02866   
58363.51738   ztfg   -1309.64696   2169.28957    30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      295.36583     502.09871     26.16425  0.00002   0.03759   
58364.46306   ztfg   134.01375     1291.57204    30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      290.65554     489.54122     26.09465  0.00002   0.03614   
58364.51117   ztfr   1298.22689    1188.93516    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      294.55783     501.11722     26.20217  0.00001   0.02457   
58365.44422   ztfg   995.27324     1037.60077    30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      288.58386     482.50454     26.16481  0.00002   0.03487   
58365.45244   ztfg   -190.86343    955.85545     30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      287.70556     484.34937     26.18867  0.00002   0.03228   
58365.50354   ztfr   453.94032     1089.74233    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      298.21479     503.02363     26.24192  0.00001   0.02240   
58365.51984   ztfr   155.89952     1470.93425    30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      297.02901     502.64056     26.24808  0.00001   0.02690   
58366.46331   ztfg   1319.85037    846.27597     30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      292.78686     491.04145     26.22036  0.00002   0.03610   
58366.48190   ztfr   -260.00869    736.80178     30.00000  0      99.00000  99.00000  354    28     -367.53611    115.94339     1.00000   1      295.78373     498.14561     26.23813  0.00001   0.02416   
58367.47600   ztfg   820.99953     649.86632     30.00000  0      99.00000  99.00000  354    28     -386.05494    120.24564     1.00000   1      293.55642     486.63752     26.16082  0.00001   0.02645   
