# ZTF DR2 lightcurve of ZTF20acehyxd
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         24.76764, 75.32341
# year:           2020
# n_detect (sn):  45, 45
# mjd_max_init:   59140.25468  (phot: fclump)
# sn_range:       59040.25468 => 59657.54408
# baseline_range: 58254.48854 => 59901.26940
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    854    16   ztfg      499.05       72.64     1.00     556.03      851.98     163    133       1
#    854    16   ztfr     -429.05       95.93     1.00    -465.91      813.98     172    145       1
#    855    29   ztfg      200.85      119.19     1.00     165.31      750.56     111     92       1
#    855    29   ztfr      614.21       34.61     1.00     552.08      815.21     120     91       1
#   1863    51   ztfg     -329.81      282.22     1.00     150.39     1042.57      25     20       1
#   1863    51   ztfr     -535.40      148.36     1.00    -642.87      966.85      49      0       1
#   1864    63   ztfg       19.14      141.06     1.00     188.19     1134.78      27     13       1
#   1864    63   ztfr     -134.72      149.47     1.00    -190.50      796.00      58      0       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    854    16   ztfg      537.15       85.70     1.00     598.20      893.35     146    133       1
#    854    16   ztfr     -524.38      109.96     1.00    -529.13      853.39     152    145       1
#    855    29   ztfg      219.53      121.42     1.00     149.94      794.55      97     92       1
#    855    29   ztfr      609.41       46.71     1.00     512.05      824.46     107     91       1
#   1863    51   ztfg     -380.62      148.21     1.00      68.80     1050.82      23     20       1
#   1863    51   ztfr     -535.40      136.71     1.00    -587.93      947.35      47      0       1
#   1864    63   ztfg       66.68      130.67     1.00     385.62     1014.34      25     13       1
#   1864    63   ztfr     -116.40      166.27     1.00    -178.00      801.10      56      0       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    854    16   ztfg      232.09      185.90     1.00     329.47      613.56      17    133       1
#    854    16   ztfr      157.49      292.10     1.00      23.86      578.16      22    145       1
#    855    29   ztfg       64.35      150.90     1.00     150.21      483.65      14     92       1
#    855    29   ztfr     1004.95      349.98     1.02     995.49      704.55      13     91       1
#   1863    51   ztfg      769.57      160.48     1.00     847.64      160.48       2     20       0
#   1863    51   ztfr    -1764.95     1525.93     1.47   -2176.43     1525.93       2      0       0
#   1864    63   ztfg    -2967.45      135.76     1.00   -2957.63      135.76       2     13       0
#   1864    63   ztfr     -667.83      373.07     1.00    -551.63      373.07       2      0       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58254.48854   ztfr   3655.65874    1886.86895    30.00000  0      99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   0      1562.07647    2775.67569    26.15520  0.00001   0.02713   
58257.46984   ztfr   -569.83004    982.03460     30.00000  64     99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   1      1561.58584    2849.57497    26.10041  0.00001   0.02755   
58263.48237   ztfg   -1853.20221   2306.84459    30.00000  256    99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   0      1561.01526    2866.42235    26.13993  0.00003   0.04294   
58267.44603   ztfg   1139.99844    3489.91254    30.00000  256    99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   1      1564.68211    2869.13585    25.98406  0.00008   0.05772   
58270.42588   ztfr   4166.87850    2637.31141    30.00000  64     99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   0      1563.44568    2836.21758    26.08300  0.00002   0.03770   
58270.45624   ztfg   2753.62781    2730.53568    30.00000  64     99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   0      1564.41409    2854.18629    26.09454  0.00005   0.04782   
58273.42818   ztfr   3091.55047    1355.51411    30.00000  64     99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   0      1565.01470    2902.05799    26.16737  0.00001   0.02579   
58273.46939   ztfg   1958.20399    1504.73276    30.00000  0      99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   1      1565.98436    2927.94004    26.14869  0.00002   0.04327   
58276.44965   ztfr   -333.94811    1256.30083    30.00000  64     99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   1      1562.23284    2796.34150    26.18630  0.00001   0.02508   
58276.48031   ztfr   457.18698     1642.49152    30.00000  0      99.00000  99.00000  855    29.00000  614.21329     34.61077  1.00000   1      146.95086     2978.22225    26.21036  0.00001   0.02562   
58279.45439   ztfg   519.53872     1054.75406    30.00000  64     99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   1      1564.06384    2754.20717    26.17849  0.00002   0.03925   
58279.46696   ztfg   1297.11791    926.78128     30.00000  0      99.00000  99.00000  855    29.00000  200.84850     119.19494     1.00000   1      149.19120     3010.74895    26.16952  0.00002   0.03397   
58282.40556   ztfg   1087.26203    1172.31354    30.00000  64     99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   1      1568.65653    2855.36593    25.87482  0.00002   0.03948   
58282.47463   ztfr   3334.88300    1805.49644    30.00000  0      99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   0      1565.73854    2851.34021    25.83789  0.00001   0.02814   
58285.40641   ztfr   -337.00977    1014.04284    30.00000  64     99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   1      1564.95031    2809.38846    26.18436  0.00001   0.02319   
58285.44872   ztfg   -478.53920    745.45433     30.00000  64     99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   1      1563.39209    2773.58985    26.19944  0.00001   0.03071   
58288.43007   ztfg   -1632.02197   1236.38724    30.00000  64     99.00000  99.00000  854    16.00000  499.04834     72.64302  1.00000   1      1563.39018    2883.58378    26.13092  0.00002   0.04376   
58288.47063   ztfr   -1096.00048   807.28706     30.00000  0      99.00000  99.00000  854    16.00000  -429.05240    95.92627  1.00000   1      1561.31480    2909.28188    26.19144  0.00001   0.02033   
