# ZTF DR2 lightcurve of ZTF20achyvas
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         293.41464, 39.38886
# year:           2020
# n_detect (sn):  30, 30
# mjd_max_init:   59139.22176  (phot: fclump)
# sn_range:       59039.22176 => 59535.24717
# baseline_range: 58204.51435 => 59829.17881
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    728    26   ztfg      360.89       40.79     1.00     284.28      537.49     228    160       1
#    728    26   ztfr      815.35       53.02     1.00     678.25      821.72     540    126       1
#   1727    63   ztfg      244.83      230.54     1.04     -65.64     1081.44      24     26       1
#   1727    63   ztfr       91.60      147.32     1.00     123.00      625.94      46      0       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    728    26   ztfg      364.93       59.52     1.00     260.61      568.59     185    160       1
#    728    26   ztfr      796.53       56.95     1.00     658.25      826.18     506    126       1
#   1727    63   ztfg      244.83      230.54     1.04     -65.64     1081.44      24     26       1
#   1727    63   ztfr       91.60      147.32     1.00     123.00      625.94      46      0       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    728    26   ztfg      356.84       64.77     1.00     304.97      473.38      45    160       1
#    728    26   ztfr     1021.19      191.10     1.00     967.52      720.17      34    126       1
#   1727    63   ztfg        0.00        0.00     1.00       0.00        0.00       0     26       0
#   1727    63   ztfr        0.00        0.00     1.00       0.00        0.00       0      0       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58204.51435   ztfg   -447.35487    847.27977     30.00000  256    99.00000  99.00000  728    26     360.88620     40.79285  1.00000   1      2812.34260    687.94922     26.30953  0.00001   0.01572   
58207.50977   ztfg   355.18310     1240.84710    30.00000  256    99.00000  99.00000  728    26     360.88620     40.79285  1.00000   1      2867.40938    680.72813     26.28936  0.00001   0.01717   
58207.52277   ztfg   939.96952     1344.84110    30.00000  256    99.00000  99.00000  728    26     360.88620     40.79285  1.00000   1      2870.38089    682.96434     26.28892  0.00001   0.01723   
58210.48350   ztfg   705.82521     1590.90146    30.00000  0      99.00000  99.00000  728    26     360.88620     40.79285  1.00000   1      2813.33468    647.91413     26.26147  0.00001   0.01689   
58216.50321   ztfr   -6490.29394   1952.15455    30.00000  64     99.00000  99.00000  728    26     815.34988     53.01835  1.00000   0      2809.77362    724.57997     26.28083  0.00001   0.01774   
58222.46466   ztfr   -377.69122    767.21431     30.00000  0      99.00000  99.00000  728    26     815.34988     53.01835  1.00000   1      2814.38405    703.00011     26.25804  0.00001   0.01253   
58222.49692   ztfr   -1479.58046   948.76138     30.00000  0      99.00000  99.00000  728    26     815.34988     53.01835  1.00000   1      2818.00917    714.60318     26.27914  0.00001   0.01541   
58226.45446   ztfr   877.79302     794.48254     30.00000  0      99.00000  99.00000  728    26     815.34988     53.01835  1.00000   1      2814.59430    706.41063     26.25927  0.00001   0.01333   
58226.48874   ztfr   -3456.24858   950.43698     30.00000  0      99.00000  99.00000  728    26     815.34988     53.01835  1.00000   0      2817.75213    719.24749     26.27572  0.00001   0.01486   
58229.45497   ztfr   -1396.09257   819.50424     30.00000  0      99.00000  99.00000  728    26     815.34988     53.01835  1.00000   1      2811.71198    744.87202     26.30228  0.00001   0.01386   
58229.49486   ztfg   -407.68820    781.45852     30.00000  0      99.00000  99.00000  728    26     360.88620     40.79285  1.00000   1      2820.08655    753.91402     26.30918  0.00001   0.01611   
