# ZTF DR2 lightcurve of ZTF20acpmgdz
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         66.58267, -10.09911
# year:           2020
# n_detect (sn):  322, 320
# mjd_max_init:   59174.32630  (phot: fclump)
# sn_range:       59074.32630 => 59842.14949
# baseline_range: 58206.13765 => 59905.24564
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    354    28   ztfg      212.85      160.92     1.00      94.68      775.16      99    243       1
#    354    28   ztfr      238.29      139.00     1.00     442.07     1000.54     104    237       1
#    354    28   ztfi   -30314.12      473.77     1.00  -30521.11     1426.98      11     38       1
#   1346    57   ztfg     -407.49      426.33     1.00    -961.96      913.94       9     39       1
#   1346    57   ztfr      520.76      871.80     1.00     663.46     1566.85      12     34       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    354    28   ztfg      212.85      160.92     1.00      94.68      775.16      99    243       1
#    354    28   ztfr      238.29      139.00     1.00     442.07     1000.54     104    237       1
#    354    28   ztfi        0.00        0.00     1.00       0.00        0.00       0     38       0
#   1346    57   ztfg     -722.10      620.21     1.00   -1056.96      861.69       8     39       1
#   1346    57   ztfr      520.76      871.80     1.00     663.46     1566.85      12     34       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
#    354    28   ztfg        0.00        0.00     1.00       0.00        0.00       0    243       0
#    354    28   ztfr        0.00        0.00     1.00       0.00        0.00       0    237       0
#    354    28   ztfi   -30314.12      473.77     1.00  -30521.11     1426.98      11     38       1
#   1346    57   ztfg      413.84        0.00     1.00     413.84        0.00       1     39       0
#   1346    57   ztfr        0.00        0.00     1.00       0.00        0.00       0     34       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58206.13765   ztfg   -5021.25984   3836.17763    30.00000  448    99.00000  99.00000  354    28     212.85009     160.92187     1.00000   0      404.22370     574.04088     25.99581  0.00005   0.04055   
58338.48104   ztfr   606.04020     1570.90031    30.00000  128    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      303.52551     701.48294     26.05802  0.00002   0.03334   
58344.48277   ztfg   472.20268     892.37092     30.00000  128    99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      310.77184     795.71335     25.99051  0.00002   0.03203   
58350.46313   ztfg   554.16040     862.90711     30.00000  384    99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      307.09787     488.60624     25.91181  0.00002   0.03264   
58350.46404   ztfg   -1046.93268   766.05854     30.00000  384    99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      307.45326     488.73353     25.89606  0.00002   0.03334   
58350.50181   ztfr   6.32907   1364.64422    30.00000  256    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      316.08699     502.94372     26.09529  0.00002   0.03176   
58350.50791   ztfr   -531.81764    1404.84733    30.00000  256    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      318.33991     504.40120     26.09698  0.00001   0.02644   
58353.44429   ztfr   607.77580     1621.03675    30.00000  448    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      304.53723     436.83110     26.16515  0.00001   0.02506   
58353.44661   ztfr   -648.69447    895.24135     30.00000  384    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      305.25121     437.54640     26.15839  0.00001   0.02310   
58354.44517   ztfr   1870.36442    1947.37729    30.00000  384    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      304.77023     515.76675     26.14807  0.00001   0.03028   
58356.44236   ztfr   -3111.98341   2273.43372    30.00000  384    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      309.10703     544.79420     26.18612  0.00002   0.03357   
58356.45557   ztfr   3133.33380    2076.00514    30.00000  384    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      312.10194     549.38141     26.21337  0.00001   0.03017   
58357.43988   ztfr   2397.02025    2256.06360    30.00000  128    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      306.25581     499.23478     26.18965  0.00002   0.03349   
58357.49810   ztfr   276.07120     2201.29533    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      323.29640     519.03229     26.24895  0.00002   0.03157   
58358.46101   ztfr   -1279.23840   1991.41763    30.00000  128    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      317.87354     492.96993     26.22810  0.00002   0.03336   
58359.45510   ztfr   108.02126     1667.99548    30.00000  128    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      312.06243     553.56069     26.20183  0.00001   0.02966   
58359.45608   ztfr   -2139.54863   1612.59204    30.00000  128    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      312.03413     553.83210     26.20255  0.00001   0.02680   
58359.50306   ztfr   -1673.86687   1840.09729    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      325.99145     572.06853     26.14847  0.00001   0.03037   
58360.47880   ztfg   572.54933     1766.89510    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      322.01104     543.70367     26.18976  0.00002   0.03466   
58362.44259   ztfr   -1449.75056   1868.39330    30.00000  192    99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      313.82340     505.30407     26.23426  0.00001   0.02839   
58362.45743   ztfr   2647.19835    1603.29705    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      314.30675     509.03533     26.24551  0.00001   0.02525   
58362.49829   ztfg   623.84291     1440.98111    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      324.19595     521.59419     26.20762  0.00002   0.03564   
58362.49920   ztfg   -1713.97244   1484.82372    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      324.99204     521.97670     26.22125  0.00002   0.03228   
58363.49485   ztfr   2804.95253    1702.15664    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      324.00708     497.45446     26.20621  0.00001   0.02866   
58363.51738   ztfg   -40.46160     2123.85390    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      326.04505     503.22861     26.16425  0.00002   0.03759   
58364.46306   ztfg   454.23662     1291.13769    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      321.33380     490.67829     26.09465  0.00002   0.03614   
58364.51117   ztfr   2609.38530    1317.62416    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   0      325.25562     502.25403     26.20217  0.00001   0.02457   
58365.44422   ztfg   392.15217     1128.20031    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      319.25552     483.64377     26.16481  0.00002   0.03487   
58365.45244   ztfg   709.21931     1072.85909    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      318.37594     485.48775     26.18867  0.00002   0.03228   
58365.50354   ztfr   -1612.50992   1285.28740    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      328.91507     504.15641     26.24192  0.00001   0.02240   
58365.51984   ztfr   -1743.20194   1730.11220    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      327.72599     503.77747     26.24808  0.00001   0.02690   
58366.46331   ztfg   731.85442     1046.34325    30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      323.46527     492.17461     26.22036  0.00002   0.03610   
58366.48190   ztfr   -1147.21291   1155.82668    30.00000  0      99.00000  99.00000  354    28     238.29130     139.00324     1.00000   1      326.47889     499.28156     26.23813  0.00001   0.02416   
58367.47600   ztfg   -1053.00893   745.14377     30.00000  0      99.00000  99.00000  354    28     212.85009     160.92187     1.00000   1      324.23176     487.77129     26.16082  0.00001   0.02645   
