# ZTF DR2 lightcurve of ZTF21aabpszb
# --------------- #
# phot_source:    FPbot (2023jan01)
# year:           2021
# n_detect (sn):  51, 49
# mjd_max_init:   59253.12902  (phot: fclump)
# baseline_range: 59153.12902 => 59977.71216
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    398    34   ztfg       26.16       86.15     1.00     520.36      871.09    135       1
#    398    34   ztfr     -214.89      118.34     1.00    -194.89      709.89    145       1
#    398    34   ztfi     -521.69      378.83     1.00    -430.15      976.72     11       1
#   1443    08   ztfg     -196.34      133.26     1.00     278.26      753.25     43       1
#   1443    08   ztfr      177.03      266.58     1.00     381.53      809.09     35       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    398    34   ztfg       26.16       86.15     1.00     520.36      871.09    135       1
#    398    34   ztfr     -214.89      118.34     1.00    -194.89      709.89    145       1
#    398    34   ztfi     -521.69      378.83     1.00    -430.15      976.72     11       1
#   1443    08   ztfg     -196.34      133.26     1.00     278.26      753.25     43       1
#   1443    08   ztfr      177.03      266.58     1.00     381.53      809.09     35       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    398    34   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#    398    34   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#    398    34   ztfi        0.00        0.00     1.00       0.00        0.00      0       0
#   1443    08   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#   1443    08   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58289.46525   ztfr   1052.17060    1234.16719    30.00000  384    99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      48.94063  95.80796  26.19253  0.00003   0.03366   
58298.45788   ztfr   1084.46865    2710.36651    30.00000  64     99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      40.81369  239.01039     26.15369  0.00004   0.03972   
58298.48131   ztfg   4976.38341    4006.75317    30.00000  64     99.00000  99.00000  398    34     26.15946  86.14659  1.00000   0      45.49776  253.67306     26.14872  0.00008   0.03735   
58301.44170   ztfr   510.42415     1986.89024    30.00000  128    99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      45.74640  125.51272     26.16679  0.00004   0.03939   
58307.46095   ztfg   -1437.38739   1097.61960    30.00000  0      99.00000  99.00000  398    34     26.15946  86.14659  1.00000   1      47.25796  248.69029     26.01263  0.00003   0.03410   
58312.44221   ztfr   555.61755     919.23244     30.00000  0      99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      47.94244  208.09333     26.02176  0.00002   0.02822   
58315.44257   ztfg   -679.11701    917.44224     30.00000  0      99.00000  99.00000  398    34     26.15946  86.14659  1.00000   1      51.12454  255.57468     25.91038  0.00003   0.03378   
58315.48231   ztfr   462.41688     1023.66992    30.00000  0      99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      57.01204  275.30709     25.98954  0.00003   0.03218   
58318.44214   ztfg   -1149.24610   685.66043     30.00000  0      99.00000  99.00000  398    34     26.15946  86.14659  1.00000   1      42.68921  151.36429     26.17382  0.00002   0.02976   
58321.44183   ztfg   580.73720     893.54097     30.00000  256    99.00000  99.00000  398    34     26.15946  86.14659  1.00000   1      41.50262  169.58463     26.19279  0.00003   0.03355   
58321.47931   ztfr   158.17089     747.42607     30.00000  256    99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      45.30823  181.45622     26.29074  0.00002   0.02517   
58324.43685   ztfg   2598.97748    2563.92334    30.00000  256    99.00000  99.00000  398    34     26.15946  86.14659  1.00000   0      42.46045  303.44731     25.87032  0.00008   0.04965   
58324.48269   ztfr   -667.67806    773.05222     30.00000  256    99.00000  99.00000  398    34     -214.88608    118.34473     1.00000   1      50.33257  323.58969     26.23172  0.00002   0.02626   
