# ZTF DR2 lightcurve of ZTF21abasxdp
# --------------- #
# phot_source:    FPbot (2023jan01)
# year:           2021
# n_detect (sn):  110, 105
# mjd_max_init:   59349.24047  (phot: fclump)
# baseline_range: 59249.24047 => 59800.70398
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    718    54   ztfg     -307.61       36.42     1.08    -293.26      838.20    443       1
#    718    54   ztfr      594.58       67.68     1.39     804.91     1303.41    509       1
#    718    54   ztfi     1771.89      307.41     1.65    1873.32     1846.63    122       1
#   1757    27   ztfg       48.44      375.60     1.60    -462.83     1426.40     14       1
#   1757    27   ztfr     -379.97      351.77     1.04    -754.08     1064.73     16       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    718    54   ztfg     -297.72       38.55     1.09    -284.22      837.62    435       1
#    718    54   ztfr      593.85       74.08     1.39     788.87     1280.15    478       1
#    718    54   ztfi     1737.00      325.69     1.66    1874.01     1854.24    121       1
#   1757    27   ztfg       48.44      375.60     1.60    -462.83     1426.40     14       1
#   1757    27   ztfr     -379.97      351.77     1.04    -754.08     1064.73     16       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    718    54   ztfg     -755.13      354.29     1.00    -647.70      785.53      8       1
#    718    54   ztfr      620.59      622.43     1.41     938.99     1869.72     33       1
#    718    54   ztfi     1806.77     5831.48     2.73    3129.54     4803.76      3       1
#   1757    27   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#   1757    27   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58210.29853   ztfg   1617.72051    1989.31920    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2783.96246    1054.75338    26.32500  0.00004   0.03845   
58210.31911   ztfg   1198.70596    2312.77636    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2787.69551    1058.41380    26.15010  0.00003   0.03370   
58210.34157   ztfg   65.69764  3749.46511    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2789.28732    1061.77736    25.92755  0.00009   0.04773   
58210.35586   ztfg   1039.95971    2401.40472    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2788.53888    1064.30798    26.20573  0.00004   0.04076   
58210.38045   ztfg   -1199.57624   2450.58234    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2792.44577    1066.18690    26.14030  0.00005   0.04093   
58210.41933   ztfg   106.15564     2231.78967    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2796.53689    1064.11603    26.28252  0.00005   0.04302   
58211.33047   ztfg   947.90327     1978.55260    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2787.94653    1056.26236    26.28999  0.00004   0.04090   
58211.34154   ztfg   4188.29488    2651.82777    30.00000  64     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   0      2788.98190    1052.87058    26.32500  0.00006   0.04327   
58211.37073   ztfg   542.68391     2231.82919    30.00000  64     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2793.27316    1054.06796    26.32500  0.00004   0.03899   
58211.37164   ztfg   1166.36197    2195.50456    30.00000  64     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2792.82355    1054.15075    26.32500  0.00004   0.03986   
58211.37256   ztfg   1959.43725    2067.11289    30.00000  64     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   0      2793.38175    1054.37209    26.32500  0.00005   0.04168   
58211.39498   ztfg   -1053.74320   2476.14960    30.00000  64     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2797.72451    1058.02375    26.32500  0.00005   0.03957   
58214.26498   ztfg   -1440.90637   2271.52979    30.00000  64     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2774.70554    1066.32998    26.32500  0.00006   0.04808   
58214.27777   ztfg   193.42038     1552.73530    30.00000  12     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   0      2775.83569    1068.67405    25.60416  0.00004   0.04002   
58214.28456   ztfg   1901.94902    1268.25492    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   0      2775.02892    1075.27791    25.81414  0.00003   0.03778   
58214.28551   ztfg   -611.61500    1276.85721    30.00000  0      99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   1      2774.62722    1076.11193    26.32500  0.00004   0.04272   
58214.29449   ztfg   9238.81158    4879.82151    30.00000  72     99.00000  99.00000  718    54     -307.61104    36.41815  1.08143   0      2776.60273    1073.32613    26.32500  0.00046   0.08812   
58214.33140   ztfr   5126.72649    3976.87134    30.00000  64     99.00000  99.00000  718    54     594.57627     67.67529  1.38818   0      2782.98645    1085.74373    26.27500  0.00004   0.04069   
58214.33236   ztfr   4861.93008    4978.93862    30.00000  64     99.00000  99.00000  718    54     594.57627     67.67529  1.38818   0      2782.88553    1086.34095    26.27500  0.00005   0.04456   
58214.33331   ztfr   3245.35612    3590.70275    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2783.24114    1086.42956    26.27500  0.00003   0.03867   
58214.34006   ztfr   -1673.75009   2824.44634    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2783.20166    1081.26746    26.27500  0.00003   0.03791   
58216.24203   ztfr   1255.26386    1392.07252    30.00000  64     99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2774.12701    1107.21290    26.27500  0.00002   0.02935   
58217.28583   ztfr   -1253.14369   1836.69303    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2782.18730    1119.65752    26.27500  0.00003   0.04029   
58217.30141   ztfr   -960.85660    1003.17705    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2783.56255    1120.16350    26.27500  0.00002   0.02891   
58217.32382   ztfr   -1596.07307   1561.60751    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2786.45127    1128.51093    26.27500  0.00003   0.03841   
58217.32473   ztfr   -789.48381    1570.00753    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2786.40520    1129.08912    26.27500  0.00002   0.03011   
58217.32565   ztfr   1788.22556    2352.28453    30.00000  8      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   0      2786.16478    1129.02034    26.27500  0.00007   0.05819   
58217.35065   ztfr   184.14811     883.75443     30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2789.02798    1127.99906    26.14527  0.00002   0.02548   
58217.35156   ztfr   20.49648  898.69961     30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2788.33003    1128.89185    26.27500  0.00002   0.02594   
58217.35259   ztfr   426.41631     833.29999     30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2788.65270    1126.78359    26.27500  0.00002   0.02437   
58217.35650   ztfr   1522.68594    910.92481     30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2788.21075    1125.54640    26.27500  0.00002   0.02461   
58217.37660   ztfr   77.22581  1004.81761    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2791.58502    1124.48307    26.27500  0.00002   0.02788   
58218.27999   ztfr   -166.85557    1041.08226    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2783.47471    1092.61932    26.11684  0.00002   0.02576   
58218.30546   ztfr   2613.37779    1024.90466    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2785.66271    1097.59569    26.15752  0.00002   0.02546   
58218.33093   ztfr   2589.54704    995.43139     30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2783.82912    1097.98431    26.12358  0.00002   0.02609   
58218.34701   ztfr   4338.21312    955.63449     30.00000  1024   99.00000  99.00000  718    54     594.57627     67.67529  1.38818   0      2785.45564    1095.95644    26.27500  0.00002   0.02649   
58218.34793   ztfr   -617.11168    1012.97209    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2785.76836    1096.29673    26.15048  0.00002   0.02490   
58218.37443   ztfr   2988.27550    1053.66798    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2791.20700    1093.89500    26.17066  0.00002   0.02624   
58218.37676   ztfr   1199.43826    1013.77828    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2789.69585    1094.40691    26.16789  0.00002   0.02601   
58218.44657   ztfr   748.65727     1147.62061    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2798.21132    1083.06745    26.08093  0.00002   0.02875   
58219.26449   ztfr   165.29133     1168.89795    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2775.55539    1080.24711    26.17512  0.00002   0.02507   
58219.27593   ztfr   523.00730     1054.44395    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2778.80669    1075.23913    26.20030  0.00002   0.02650   
58219.27688   ztfr   1775.48249    1118.50054    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2779.28726    1075.18897    26.19834  0.00002   0.02768   
58219.30053   ztfr   3476.00584    2216.07600    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   0      2780.90552    1079.35902    25.77013  0.00003   0.03508   
58219.30705   ztfr   -1854.15134   2039.93822    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   1      2779.01749    1086.28127    25.73287  0.00002   0.03199   
58219.32854   ztfr   3518.54224    1265.25602    30.00000  0      99.00000  99.00000  718    54     594.57627     67.67529  1.38818   0      2781.75002    1089.81859    26.20524  0.00002   0.02750   
