# ZTF DR2 lightcurve of ZTF21abnfdqg
# --------------- #
# phot_source:    FPbot (2023jan01)
# year:           2021
# n_detect (sn):  37, 34
# mjd_max_init:   59426.43752  (phot: fclump)
# baseline_range: 59326.43752 => 59931.82768
# -------- #
# baseline_corr (applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
# 652    53   ztfg     1599.46      111.35     1.49    1601.31     1410.37    273       1
# 652    53   ztfr      704.18      144.76     1.84     431.76     2084.82    333       1
# 652    53   ztfi     1092.53      944.65     2.60    1208.44     4847.01     34       1
# 1695    16   ztfg       71.34      164.93     1.51     137.60     1352.72     62       1
# 1695    16   ztfr     -688.59      405.19     1.97    -618.35     1989.82     64       1
# 1696    29   ztfg    -1031.45      237.12     1.40    -986.62     1067.49     64       1
# 1696    29   ztfr     -701.79      622.90     2.20   -1055.65     2594.53     57       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
# 652    53   ztfg     1599.46      111.35     1.49    1601.31     1410.37    273       1
# 652    53   ztfr      704.18      144.76     1.84     431.76     2084.82    333       1
# 652    53   ztfi      965.87     1090.50     2.48      81.57     4378.36     33       1
# 1695    16   ztfg       71.34      164.93     1.51     137.60     1352.72     62       1
# 1695    16   ztfr     -688.59      405.19     1.97    -618.35     1989.82     64       1
# 1696    29   ztfg    -1031.45      237.12     1.40    -986.62     1067.49     64       1
# 1696    29   ztfr     -701.79      622.90     2.20   -1055.65     2594.53     57       1
# -------- #
# alt_baseline_corr (post-explosion: not applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
# 652    53   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
# 652    53   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# 652    53   ztfi    13628.62     5272.53     1.85   15400.86     4348.77      3       1
# 1695    16   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
# 1695    16   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# 1696    29   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
# 1696    29   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# --------------- #
mjd filter flux flux_err ZP flag mag mag_err field_id rcid flux_offset offset_unc err_scale in_baseline x_pos y_pos native_ZP native_ZP_err native_ZP_rms zpsys
58282.4816 ztfr -3098.50163 9473.98403 30.0 128 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 1 236.83932 2189.10779 25.54157 2e-05 0.04297 ab
58288.46642 ztfr 2985.52076 3607.13851 30.0 64 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 1 234.98588 2233.56449 26.10068 1e-05 0.03444 ab
58291.44993 ztfg 3467.12266 1469.32544 30.0 1472 99.0 99.0 652 53.0 1599.45519 111.35379 1.49435 0 236.15144 2054.02919 26.12902 1e-05 0.03283 ab
58294.48248 ztfr 4440.41961 3734.48708 30.0 256 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 0 238.39099 2131.40536 26.15625 1e-05 0.03064 ab
58297.42804 ztfr -2283.49641 4842.66096 30.0 128 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 1 234.46695 2147.40084 26.09173 1e-05 0.03559 ab
58300.42347 ztfr -1711.09978 3810.0979 30.0 128 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 1 226.66344 2227.47785 26.02219 1e-05 0.03268 ab
58300.46701 ztfg -909.41778 2500.29033 30.0 0 99.0 99.0 652 53.0 1599.45519 111.35379 1.49435 1 233.59078 2248.82315 26.19157 1e-05 0.03747 ab
58303.45206 ztfg 504.41079 2398.58784 30.0 0 99.0 99.0 652 53.0 1599.45519 111.35379 1.49435 1 234.40745 2063.48262 26.14868 1e-05 0.03598 ab
58303.46667 ztfr -1403.48505 2237.77903 30.0 0 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 1 236.14494 2078.77364 26.11971 1e-05 0.02241 ab
58312.45211 ztfr -4017.63112 1512.30687 30.0 0 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 1 238.72368 2152.86666 26.04793 1e-05 0.02095 ab
58312.47523 ztfg 1825.90383 1187.06657 30.0 0 99.0 99.0 652 53.0 1599.45519 111.35379 1.49435 1 241.12504 2163.17004 26.12989 1e-05 0.02678 ab
58315.45472 ztfg 2120.54326 1234.31844 30.0 0 99.0 99.0 652 53.0 1599.45519 111.35379 1.49435 1 241.05902 2200.28477 26.01082 1e-05 0.02963 ab
58315.47076 ztfr 6068.11803 1798.55175 30.0 1024 99.0 99.0 652 53.0 704.17801 144.76329 1.84023 0 241.9344 2217.01417 26.00302 1e-05 0.02165 ab
