# ZTF DR2 lightcurve of ZTF21abouuow
# --------------- #
# phot_source:    FPbot (2023jan01)
# year:           2021
# n_detect (sn):  110, 109
# mjd_max_init:   59435.37662  (phot: fclump)
# baseline_range: 59335.37662 => 59969.35963
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    854    16   ztfg      415.27       77.66     1.00     532.75      872.54    201       1
#    854    16   ztfr     -189.73       85.32     1.00    -146.63      920.53    208       1
#    855    29   ztfg     -119.25      118.32     1.00    -111.24      801.71    136       1
#    855    29   ztfr      341.35      111.34     1.00     369.29     1111.42    142       1
#    855    30   ztfg      270.42      439.77     1.40       8.75     2202.15      8       1
#    855    30   ztfr    18773.32    13900.48     4.52   43914.64    21240.13     12       0
#   1863    51   ztfg     -376.08      362.88     1.00    -147.46     1167.50     39       1
#   1863    51   ztfr        2.32      180.41     1.00    -167.61      943.68     46       1
#   1864    63   ztfg      423.79      145.20     1.00     540.68      772.54     36       1
#   1864    63   ztfr      443.67      218.27     1.00     377.96      910.48     57       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    854    16   ztfg      415.27       77.66     1.00     532.75      872.54    201       1
#    854    16   ztfr     -189.73       85.32     1.00    -146.63      920.53    208       1
#    855    29   ztfg     -119.25      118.32     1.00    -111.24      801.71    136       1
#    855    29   ztfr      341.35      111.34     1.00     369.29     1111.42    142       1
#    855    30   ztfg      270.42      439.77     1.40       8.75     2202.15      8       1
#    855    30   ztfr    18773.32    13900.48     4.52   43914.64    21240.13     12       0
#   1863    51   ztfg     -376.08      362.88     1.00    -147.46     1167.50     39       1
#   1863    51   ztfr        2.32      180.41     1.00    -167.61      943.68     46       1
#   1864    63   ztfg      423.79      145.20     1.00     540.68      772.54     36       1
#   1864    63   ztfr      443.67      218.27     1.00     377.96      910.48     57       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    854    16   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#    854    16   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#    855    29   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#    855    29   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#    855    30   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#    855    30   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#   1863    51   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#   1863    51   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#   1864    63   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#   1864    63   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58254.48854   ztfr   2291.24400    1863.44839    30.00000  0      99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   0      1560.35030    2777.86232    26.15520  0.00001   0.02713   
58257.46984   ztfr   -593.49421    977.09488     30.00000  64     99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   1      1559.85964    2851.76134    26.10041  0.00001   0.02755   
58263.48237   ztfg   39.46413  2303.32568    30.00000  256    99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   1      1559.29091    2868.58151    26.13993  0.00003   0.04294   
58267.44603   ztfg   -1277.38898   3535.59644    30.00000  256    99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   1      1562.95825    2871.29468    25.98406  0.00008   0.05772   
58270.42588   ztfr   3550.39158    2634.05886    30.00000  64     99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   0      1561.71996    2838.40375    26.08300  0.00002   0.03770   
58270.45624   ztfg   2795.67821    2711.43238    30.00000  64     99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   0      1562.68975    2856.34569    26.09454  0.00005   0.04782   
58273.42818   ztfr   655.80235     1335.98493    30.00000  64     99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   1      1563.28841    2904.24455    26.16737  0.00001   0.02579   
58273.46939   ztfg   -2373.89087   1590.90363    30.00000  0      99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   0      1564.26031    2930.09955    26.14869  0.00002   0.04327   
58276.44965   ztfr   1118.65120    1219.95503    30.00000  64     99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   1      1560.50703    2798.52887    26.18630  0.00001   0.02508   
58276.48031   ztfr   -243.35729    1657.30652    30.00000  0      99.00000  99.00000  855    29.00000  341.34935     111.34100     1.00000   1      146.24177     2980.91764    26.21036  0.00001   0.02562   
58279.45439   ztfg   862.57087     1046.14989    30.00000  64     99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   1      1562.34006    2756.36687    26.17849  0.00002   0.03925   
58279.46696   ztfg   481.88279     926.42566     30.00000  0      99.00000  99.00000  855    29.00000  -119.24668    118.32340     1.00000   1      148.47246     3013.41813    26.16952  0.00002   0.03397   
58282.40556   ztfg   468.85403     1176.74704    30.00000  64     99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   1      1566.93237    2857.52478    25.87482  0.00002   0.03948   
58282.47463   ztfr   4306.36493    1818.27261    30.00000  0      99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   0      1564.01346    2853.52844    25.83789  0.00001   0.02814   
58285.40641   ztfr   -1386.75877   996.41422     30.00000  64     99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   1      1563.22454    2811.57563    26.18436  0.00001   0.02319   
58285.44872   ztfg   -722.76387    735.62907     30.00000  64     99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   1      1561.66846    2775.74958    26.19944  0.00001   0.03071   
58288.43007   ztfg   -168.76740    1222.31106    30.00000  64     99.00000  99.00000  854    16.00000  415.26657     77.66124  1.00000   1      1561.66641    2885.74340    26.13092  0.00002   0.04376   
58288.47063   ztfr   -127.78664    819.22023     30.00000  0      99.00000  99.00000  854    16.00000  -189.72609    85.32010  1.00000   1      1559.59010    2911.47028    26.19144  0.00001   0.02033   
58290.45145   ztfg   886.22349     718.38317     30.00000  256    99.00000  99.00000  855    29.00000  -119.24668    118.32340     1.00000   1      152.58513     3005.90393    26.17146  0.00002   0.02996   
