# ZTF DR2 lightcurve of ZTF22abveefy
# --------------- #
# phot_source:    FPbot (2023jan01)
# year:           2022
# n_detect (sn):  19, 11
# mjd_max_init:   59910.24633  (phot: fclump)
# baseline_range: 59810.24633 => 60471.98715
# -------- #
# baseline_corr (applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    652    53   ztfg     1798.28       62.42     1.39    1759.88     1313.72    312       1
#    652    53   ztfr     2626.79      111.04     1.71    2649.19     2104.57    470       1
#    652    53   ztfi     1206.92      366.04     1.50    1343.91     2712.96     65       1
#   1695    16   ztfg     -302.58      227.67     1.55     -55.75     1285.56     62       1
#   1695    16   ztfr     -442.28      122.64     1.59    -381.89     1711.30     64       1
#   1696    29   ztfg     -717.65      343.05     1.32    -464.76      969.77     64       1
#   1696    29   ztfr    -1547.51      186.07     1.66   -1496.66     1812.13     57       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    652    53   ztfg     1798.28       62.42     1.39    1759.88     1313.72    312       1
#    652    53   ztfr     2626.79      111.04     1.71    2649.19     2104.57    470       1
#    652    53   ztfi     1206.92      366.04     1.50    1343.91     2712.96     65       1
#   1695    16   ztfg     -302.58      227.67     1.55     -55.75     1285.56     62       1
#   1695    16   ztfr     -442.28      122.64     1.59    -381.89     1711.30     64       1
#   1696    29   ztfg     -717.65      343.05     1.32    -464.76      969.77     64       1
#   1696    29   ztfr    -1547.51      186.07     1.66   -1496.66     1812.13     57       1
# -------- #
# alt_baseline_corr (post-explosion: not applied): 
#  field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_obs   valid
#    652    53   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#    652    53   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#    652    53   ztfi        0.00        0.00     1.00       0.00        0.00      0       0
#   1695    16   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#   1695    16   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
#   1696    29   ztfg        0.00        0.00     1.00       0.00        0.00      0       0
#   1696    29   ztfr        0.00        0.00     1.00       0.00        0.00      0       0
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  field_id  rcid  flux_offset  offset_unc  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  
58282.48160   ztfr   -4347.39014   8872.96222    30.00000  128    99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   0      235.79290     2190.36957    25.54157  0.00002   0.04297   
58288.46642   ztfr   7396.11174    3349.51403    30.00000  1088   99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   0      233.93951     2234.82583    26.10068  0.00001   0.03444   
58291.44993   ztfg   3201.21456    1368.18798    30.00000  1472   99.00000  99.00000  652    53.00000  1798.27774    62.41775  1.38677   0      235.08603     2055.36040    26.12902  0.00001   0.03283   
58294.48248   ztfr   2978.31970    3544.24453    30.00000  256    99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   1      237.34412     2132.66731    26.15625  0.00001   0.03064   
58297.42804   ztfr   896.48512     4473.24058    30.00000  128    99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   1      233.42077     2148.66220    26.09173  0.00001   0.03559   
58300.42347   ztfr   -2439.40141   3471.81405    30.00000  128    99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   1      225.61743     2228.73921    26.02219  0.00001   0.03268   
58300.46701   ztfg   -673.43132    2310.71938    30.00000  0      99.00000  99.00000  652    53.00000  1798.27774    62.41775  1.38677   1      232.52497     2250.15474    26.19157  0.00001   0.03747   
58303.45206   ztfg   1334.70901    2246.25261    30.00000  0      99.00000  99.00000  652    53.00000  1798.27774    62.41775  1.38677   1      233.34158     2064.81405    26.14868  0.00001   0.03598   
58303.46667   ztfr   -1519.75386   2107.18026    30.00000  0      99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   1      235.09826     2080.03551    26.11971  0.00001   0.02241   
58312.45211   ztfr   -5316.59258   1401.06944    30.00000  0      99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   0      237.67690     2154.12867    26.04793  0.00001   0.02095   
58312.47523   ztfg   137.44795     1110.18964    30.00000  0      99.00000  99.00000  652    53.00000  1798.27774    62.41775  1.38677   1      240.05918     2164.50192    26.12989  0.00001   0.02678   
58315.45472   ztfg   1042.82461    1160.01025    30.00000  0      99.00000  99.00000  652    53.00000  1798.27774    62.41775  1.38677   1      239.99291     2201.61654    26.01082  0.00001   0.02963   
58315.47076   ztfr   3968.57756    1687.98413    30.00000  1024   99.00000  99.00000  652    53.00000  2626.78772    111.04248     1.71416   1      240.88763     2218.27642    26.00302  0.00001   0.02165   
